id	名字	解锁类型 1等级 2地图	解锁参数	type	value1	value2	value3	材料type	材料value1	材料value2	材料value3	材料type	材料value1	材料value2	材料value3	材料type	材料value1	材料value2	材料value3	材料type	材料value1	材料value2	材料value3	金币
10303	魔岩面具	2	3	3	10303	0	0	2	50010201	60	0	2	50010503	6	0									3000
10304	魔岩护肩	2	3	3	10304	0	0	2	50010201	60	0	2	50010503	6	0									3000
10305	魔岩手套	2	3	3	10305	0	0	2	50010301	60	0	2	50010503	6	0									3000
10306	魔岩重甲	2	3	3	10306	0	0	2	50010301	60	0	2	50010503	6	0									3000
10307	魔岩腰带	2	3	3	10307	0	0	2	50010401	60	0	2	50010503	6	0									3000
10308	魔岩长靴	2	3	3	10308	0	0	2	50010401	60	0	2	50010503	6	0									3000
10401	灾厄	2	4	3	10401	0	0	2	50010102	80	0	2	50010504	8	0									4000
10402	灾厄盾牌	2	4	3	10402	0	0	2	50010102	80	0	2	50010504	8	0									4000
10403	灰烬面罩	2	4	3	10403	0	0	2	50010202	80	0	2	50010504	8	0									4000
10404	灰烬护肩	2	4	3	10404	0	0	2	50010202	80	0	2	50010504	8	0									4000
10405	灰烬手套	2	4	3	10405	0	0	2	50010302	80	0	2	50010504	8	0									4000
10406	灰烬盔甲	2	4	3	10406	0	0	2	50010302	80	0	2	50010504	8	0									4000
10407	灰烬腰带	2	4	3	10407	0	0	2	50010402	80	0	2	50010504	8	0									4000
10408	灰烬之靴	2	4	3	10408	0	0	2	50010402	80	0	2	50010504	8	0									4000
10501	怒焰	2	5	3	10501	0	0	2	50010102	100	0	2	50010505	10	0									5000
10502	怒焰盾牌	2	5	3	10502	0	0	2	50010102	100	0	2	50010505	10	0									5000
10503	蓝焰头盔	2	5	3	10503	0	0	2	50010202	100	0	2	50010505	10	0									5000
10504	蓝焰肩甲	2	5	3	10504	0	0	2	50010202	100	0	2	50010505	10	0									5000
10505	蓝焰手套	2	5	3	10505	0	0	2	50010302	100	0	2	50010505	10	0									5000
10506	蓝焰锁子甲	2	5	3	10506	0	0	2	50010302	100	0	2	50010505	10	0									5000
10507	蓝焰腰带	2	5	3	10507	0	0	2	50010402	100	0	2	50010505	10	0									5000
10508	蓝焰长靴	2	5	3	10508	0	0	2	50010402	100	0	2	50010505	10	0									5000
10601	修罗	2	6	3	10601	0	0	2	50010102	100	0	2	50010506	10	0									6000
10602	红莲盾牌	2	6	3	10602	0	0	2	50010102	100	0	2	50010506	10	0									6000
10603	业火面具	2	6	3	10603	0	0	2	50010202	100	0	2	50010506	10	0									6000
10604	业火护肩	2	6	3	10604	0	0	2	50010202	100	0	2	50010506	10	0									6000
10605	业火手套	2	6	3	10605	0	0	2	50010302	100	0	2	50010506	10	0									6000
10606	业火夹克	2	6	3	10606	0	0	2	50010302	100	0	2	50010506	10	0									6000
10607	业火腰带	2	6	3	10607	0	0	2	50010402	100	0	2	50010506	10	0									6000
10608	业火短靴	2	6	3	10608	0	0	2	50010402	100	0	2	50010506	10	0									6000
10701	荣耀	2	7	3	10701	0	0	2	50010103	120	0	2	50010507	12	0									7000
10702	无畏盾牌	2	7	3	10702	0	0	2	50010103	120	0	2	50010507	12	0									7000
10703	勇气头盔	2	7	3	10703	0	0	2	50010203	120	0	2	50010507	12	0									7000
10704	勇气护肩	2	7	3	10704	0	0	2	50010203	120	0	2	50010507	12	0									7000
10705	勇气手套	2	7	3	10705	0	0	2	50010303	120	0	2	50010507	12	0									7000
10706	勇气护甲	2	7	3	10706	0	0	2	50010303	120	0	2	50010507	12	0									7000
10707	勇气腰带	2	7	3	10707	0	0	2	50010403	120	0	2	50010507	12	0									7000
10708	勇气长靴	2	7	3	10708	0	0	2	50010403	120	0	2	50010507	12	0									7000
10801	誓言	2	8	3	10801	0	0	2	50010103	120	0	2	50010508	12	0									8000
10802	旧人盾牌	2	8	3	10802	0	0	2	50010103	120	0	2	50010508	12	0									8000
10803	冰原绒帽	2	8	3	10803	0	0	2	50010203	120	0	2	50010508	12	0									8000
10804	冰原披肩	2	8	3	10804	0	0	2	50010203	120	0	2	50010508	12	0									8000
10805	冰原手套	2	8	3	10805	0	0	2	50010303	120	0	2	50010508	12	0									8000
10806	冰原皮甲	2	8	3	10806	0	0	2	50010303	120	0	2	50010508	12	0									8000
10807	冰原腰带	2	8	3	10807	0	0	2	50010403	120	0	2	50010508	12	0									8000
10808	冰原皮靴	2	8	3	10808	0	0	2	50010403	120	0	2	50010508	12	0									8000
10901	圣痕	2	9	3	10901	0	0	2	50010103	140	0	2	50010509	14	0									9000
10902	宽恕盾牌	2	9	3	10902	0	0	2	50010103	140	0	2	50010509	14	0									9000
10903	骑士头盔	2	9	3	10903	0	0	2	50010203	140	0	2	50010509	14	0									9000
10904	骑士肩甲	2	9	3	10904	0	0	2	50010203	140	0	2	50010509	14	0									9000
10905	骑士手套	2	9	3	10905	0	0	2	50010303	140	0	2	50010509	14	0									9000
10906	骑士战衣	2	9	3	10906	0	0	2	50010303	140	0	2	50010509	14	0									9000
10907	骑士腰带	2	9	3	10907	0	0	2	50010403	140	0	2	50010509	14	0									9000
10908	骑士战靴	2	9	3	10908	0	0	2	50010403	140	0	2	50010509	14	0									9000
11001	幕落	2	10	3	11001	0	0	2	50010104	140	0	2	50010500	14	0									10000
11002	天穹盾牌	2	10	3	11002	0	0	2	50010104	140	0	2	50010500	14	0									10000
11003	苍穹头盔	2	10	3	11003	0	0	2	50010204	140	0	2	50010500	14	0									10000
11004	苍穹肩甲	2	10	3	11004	0	0	2	50010204	140	0	2	50010500	14	0									10000
11005	苍穹手套	2	10	3	11005	0	0	2	50010304	140	0	2	50010500	14	0									10000
11006	苍穹铠甲	2	10	3	11006	0	0	2	50010304	140	0	2	50010500	14	0									10000
11007	苍穹腰带	2	10	3	11007	0	0	2	50010404	140	0	2	50010500	14	0									10000
11008	苍穹战靴	2	10	3	11008	0	0	2	50010404	140	0	2	50010500	14	0									10000
11101	炼狱	2	11	3	11101	0	0	2	50010104	160	0	2	50010501	16	0									11000
11102	虚无盾牌	2	11	3	11102	0	0	2	50010104	160	0	2	50010501	16	0									11000
11103	恶魔面具	2	11	3	11103	0	0	2	50010204	160	0	2	50010501	16	0									11000
11104	恶魔护肩	2	11	3	11104	0	0	2	50010204	160	0	2	50010501	16	0									11000
11105	恶魔手套	2	11	3	11105	0	0	2	50010304	160	0	2	50010501	16	0									11000
11106	恶魔甲胄	2	11	3	11106	0	0	2	50010304	160	0	2	50010501	16	0									11000
11107	恶魔腰带	2	11	3	11107	0	0	2	50010404	160	0	2	50010501	16	0									11000
11108	恶魔战靴	2	11	3	11108	0	0	2	50010404	160	0	2	50010501	16	0									11000
11201	怒鲨	2	12	3	11201	0	0	2	50010104	160	0	2	50010502	16	0									12000
11202	海神盾牌	2	12	3	11202	0	0	2	50010104	160	0	2	50010502	16	0									12000
11203	波塞冬头环	2	12	3	11203	0	0	2	50010204	160	0	2	50010502	16	0									12000
11204	波塞冬肩甲	2	12	3	11204	0	0	2	50010204	160	0	2	50010502	16	0									12000
11205	波塞冬手套	2	12	3	11205	0	0	2	50010304	160	0	2	50010502	16	0									12000
11206	波塞冬铠甲	2	12	3	11206	0	0	2	50010304	160	0	2	50010502	16	0									12000
11207	波塞冬腰带	2	12	3	11207	0	0	2	50010404	160	0	2	50010502	16	0									12000
11208	波塞冬战靴	2	12	3	11208	0	0	2	50010404	160	0	2	50010502	16	0									12000
11301	龙约	2	13	3	11301	0	0	2	50010105	180	0	2	50010503	18	0									13000
11302	天龙盾牌	2	13	3	11302	0	0	2	50010105	180	0	2	50010503	18	0									13000
11303	龙鸣头盔	2	13	3	11303	0	0	2	50010205	180	0	2	50010503	18	0									13000
11304	龙鸣肩甲	2	13	3	11304	0	0	2	50010205	180	0	2	50010503	18	0									13000
11305	龙鸣手套	2	13	3	11305	0	0	2	50010305	180	0	2	50010503	18	0									13000
11306	龙鸣战铠	2	13	3	11306	0	0	2	50010305	180	0	2	50010503	18	0									13000
11307	龙鸣腰带	2	13	3	11307	0	0	2	50010405	180	0	2	50010503	18	0									13000
11308	龙鸣铠靴	2	13	3	11308	0	0	2	50010405	180	0	2	50010503	18	0									13000
11401	破灭	2	14	3	11401	0	0	2	50010105	180	0	2	50010504	18	0									14000
11402	命运盾牌	2	14	3	11402	0	0	2	50010105	180	0	2	50010504	18	0									14000
11403	永生头盔	2	14	3	11403	0	0	2	50010205	180	0	2	50010504	18	0									14000
11404	永生护肩	2	14	3	11404	0	0	2	50010205	180	0	2	50010504	18	0									14000
11405	永生手套	2	14	3	11405	0	0	2	50010305	180	0	2	50010504	18	0									14000
11406	永生铠甲	2	14	3	11406	0	0	2	50010305	180	0	2	50010504	18	0									14000
11407	永生腰带	2	14	3	11407	0	0	2	50010405	180	0	2	50010504	18	0									14000
11408	永生长靴	2	14	3	11408	0	0	2	50010405	180	0	2	50010504	18	0									14000
11501	律法	2	15	3	11501	0	0	2	50010105	200	0	2	50010505	20	0									15000
11502	真理盾牌	2	15	3	11502	0	0	2	50010105	200	0	2	50010505	20	0									15000
11503	正义皇冠	2	15	3	11503	0	0	2	50010205	200	0	2	50010505	20	0									15000
11504	正义护肩	2	15	3	11504	0	0	2	50010205	200	0	2	50010505	20	0									15000
11505	正义手套	2	15	3	11505	0	0	2	50010305	200	0	2	50010505	20	0									15000
11506	正义护甲	2	15	3	11506	0	0	2	50010305	200	0	2	50010505	20	0									15000
11507	正义腰带	2	15	3	11507	0	0	2	50010405	200	0	2	50010505	20	0									15000
11508	正义铠靴	2	15	3	11508	0	0	2	50010405	200	0	2	50010505	20	0									15000
2001	中级强化石			2	30020002	1	0	2	30020001	20	0													10000
2002	高级强化石			2	30020003	1	0	2	30020002	20	0													10000
2003	特级强化石			2	30020004	1	0	2	30020003	20	0													10000
2004	坚铜矿石	2	4	2	50010102	1	0	2	50010101	3	0													50
2005	秘银矿石	2	7	2	50010103	1	0	2	50010102	3	0													100
2006	精金矿石	2	10	2	50010104	1	0	2	50010103	3	0													150
2007	天元矿石	2	13	2	50010105	1	0	2	50010104	3	0													200
2008	呢绒	2	4	2	50010202	1	0	2	50010201	3	0													50
2009	纤维布	2	7	2	50010203	1	0	2	50010202	3	0													100
2010	巨龙革	2	10	2	50010204	1	0	2	50010203	3	0													150
2011	星鹃布	2	13	2	50010205	1	0	2	50010204	3	0													200
2012	兽角	2	4	2	50010302	1	0	2	50010301	3	0													50
2013	硬壳	2	7	2	50010303	1	0	2	50010302	3	0													100
2014	利齿	2	10	2	50010304	1	0	2	50010303	3	0													150
2015	珍宝	2	13	2	50010305	1	0	2	50010304	3	0													200
2016	头骨	2	4	2	50010402	1	0	2	50010401	3	0													50
2017	龙角	2	7	2	50010403	1	0	2	50010402	3	0													100
2018	图腾	2	10	2	50010404	1	0	2	50010403	3	0													150
2019	神元	2	13	2	50010405	1	0	2	50010404	3	0													200
3001	2级生命宝石	2	3	5	1002	1	0	5	1001	2	0													3000
3002	3级生命宝石	2	4	5	1003	1	0	5	1002	2	0													6000
3003	4级生命宝石	2	5	5	1004	1	0	5	1003	2	0													9000
3004	5级生命宝石	2	6	5	1005	1	0	5	1004	2	0													12000
3005	6级生命宝石	2	7	5	1006	1	0	5	1005	2	0													15000
3006	7级生命宝石	2	8	5	1007	1	0	5	1006	2	0													18000
3007	8级生命宝石	2	9	5	1008	1	0	5	1007	2	0													21000
3008	9级生命宝石	2	10	5	1009	1	0	5	1008	2	0													24000
3009	10级生命宝石	2	11	5	1010	1	0	5	1009	2	0													27000
3010	2级攻击宝石	2	3	5	2002	1	0	5	2001	2	0													3000
3011	3级攻击宝石	2	4	5	2003	1	0	5	2002	2	0													6000
3012	4级攻击宝石	2	5	5	2004	1	0	5	2003	2	0													9000
3013	5级攻击宝石	2	6	5	2005	1	0	5	2004	2	0													12000
3014	6级攻击宝石	2	7	5	2006	1	0	5	2005	2	0													15000
3015	7级攻击宝石	2	8	5	2007	1	0	5	2006	2	0													18000
3016	8级攻击宝石	2	9	5	2008	1	0	5	2007	2	0													21000
3017	9级攻击宝石	2	10	5	2009	1	0	5	2008	2	0													24000
3018	10级攻击宝石	2	11	5	2010	1	0	5	2009	2	0													27000
3019	2级物防宝石	2	3	5	3002	1	0	5	3001	2	0													3000
3020	3级物防宝石	2	4	5	3003	1	0	5	3002	2	0													6000
3021	4级物防宝石	2	5	5	3004	1	0	5	3003	2	0													9000
3022	5级物防宝石	2	6	5	3005	1	0	5	3004	2	0													12000
3023	6级物防宝石	2	7	5	3006	1	0	5	3005	2	0													15000
3024	7级物防宝石	2	8	5	3007	1	0	5	3006	2	0													18000
3025	8级物防宝石	2	9	5	3008	1	0	5	3007	2	0													21000
3026	9级物防宝石	2	10	5	3009	1	0	5	3008	2	0													24000
3027	10级物防宝石	2	11	5	3010	1	0	5	3009	2	0													27000
3028	2级魔防宝石	2	3	5	4002	1	0	5	4001	2	0													3000
3029	3级魔防宝石	2	4	5	4003	1	0	5	4002	2	0													6000
3030	4级魔防宝石	2	5	5	4004	1	0	5	4003	2	0													9000
3031	5级魔防宝石	2	6	5	4005	1	0	5	4004	2	0													12000
3032	6级魔防宝石	2	7	5	4006	1	0	5	4005	2	0													15000
3033	7级魔防宝石	2	8	5	4007	1	0	5	4006	2	0													18000
3034	8级魔防宝石	2	9	5	4008	1	0	5	4007	2	0													21000
3035	9级魔防宝石	2	10	5	4009	1	0	5	4008	2	0													24000
3036	10级魔防宝石	2	11	5	4010	1	0	5	4009	2	0													27000
3037	2级命中宝石	2	3	5	5002	1	0	5	5001	2	0													3000
3038	3级命中宝石	2	4	5	5003	1	0	5	5002	2	0													6000
3039	4级命中宝石	2	5	5	5004	1	0	5	5003	2	0													9000
3040	5级命中宝石	2	6	5	5005	1	0	5	5004	2	0													12000
3041	6级命中宝石	2	7	5	5006	1	0	5	5005	2	0													15000
3042	7级命中宝石	2	8	5	5007	1	0	5	5006	2	0													18000
3043	8级命中宝石	2	9	5	5008	1	0	5	5007	2	0													21000
3044	9级命中宝石	2	10	5	5009	1	0	5	5008	2	0													24000
3045	10级命中宝石	2	11	5	5010	1	0	5	5009	2	0													27000
3046	2级闪避宝石	2	3	5	6002	1	0	5	6001	2	0													3000
3047	3级闪避宝石	2	4	5	6003	1	0	5	6002	2	0													6000
3048	4级闪避宝石	2	5	5	6004	1	0	5	6003	2	0													9000
3049	5级闪避宝石	2	6	5	6005	1	0	5	6004	2	0													12000
3050	6级闪避宝石	2	7	5	6006	1	0	5	6005	2	0													15000
3051	7级闪避宝石	2	8	5	6007	1	0	5	6006	2	0													18000
3052	8级闪避宝石	2	9	5	6008	1	0	5	6007	2	0													21000
3053	9级闪避宝石	2	10	5	6009	1	0	5	6008	2	0													24000
3054	10级闪避宝石	2	11	5	6010	1	0	5	6009	2	0													27000
3055	2级暴击宝石	2	3	5	7002	1	0	5	7001	2	0													3000
3056	3级暴击宝石	2	4	5	7003	1	0	5	7002	2	0													6000
3057	4级暴击宝石	2	5	5	7004	1	0	5	7003	2	0													9000
3058	5级暴击宝石	2	6	5	7005	1	0	5	7004	2	0													12000
3059	6级暴击宝石	2	7	5	7006	1	0	5	7005	2	0													15000
3060	7级暴击宝石	2	8	5	7007	1	0	5	7006	2	0													18000
3061	8级暴击宝石	2	9	5	7008	1	0	5	7007	2	0													21000
3062	9级暴击宝石	2	10	5	7009	1	0	5	7008	2	0													24000
3063	10级暴击宝石	2	11	5	7010	1	0	5	7009	2	0													27000
3064	2级抗暴宝石	2	3	5	8002	1	0	5	8001	2	0													3000
3065	3级抗暴宝石	2	4	5	8003	1	0	5	8002	2	0													6000
3066	4级抗暴宝石	2	5	5	8004	1	0	5	8003	2	0													9000
3067	5级抗暴宝石	2	6	5	8005	1	0	5	8004	2	0													12000
3068	6级抗暴宝石	2	7	5	8006	1	0	5	8005	2	0													15000
3069	7级抗暴宝石	2	8	5	8007	1	0	5	8006	2	0													18000
3070	8级抗暴宝石	2	9	5	8008	1	0	5	8007	2	0													21000
3071	9级抗暴宝石	2	10	5	8009	1	0	5	8008	2	0													24000
3072	10级抗暴宝石	2	11	5	8010	1	0	5	8009	2	0													27000
4001	神器1			4	1001	1	0	2	30020001	30	0													20000
4002	神器2			4	1002	1	0	2	30020001	30	0													20000
4003	神器3			4	1003	1	0	2	30020001	30	0													20000
4004	神器4			4	1004	1	0	2	30020001	30	0													20000
4005	神器5			4	1005	1	0	2	30020001	30	0													20000
4006	神器6			4	1006	1	0	2	30020001	45	0													20000
4007	神器7			4	1007	1	0	2	30020001	60	0													20000
4008	神器8			4	1008	1	0	2	30020001	30	0													20000
4009	神器9			4	1009	1	0	2	30020001	40	0													20000
4010	神器10			4	1010	1	0	2	30020001	50	0													20000
4011	神器11			4	2001	1	0	2	30020001	60	0													20000
4012	神器12			4	2002	1	0	2	30020001	90	0													20000
4013	神器13			4	2003	1	0	2	30020001	45	0													20000
4014	神器14			4	2004	1	0	2	30020001	60	0													20000
4015	神器15			4	2005	1	0	2	30020001	75	0													20000
4016	神器16			4	2006	1	0	2	30020001	90	0													20000
4017	神器17			4	2007	1	0	2	30020001	120	0													20000
4018	神器18			4	2008	1	0	2	30020001	60	0													20000
4019	神器19			4	2009	1	0	2	30020001	80	0													20000
4020	神器20			4	2010	1	0	2	30020001	100	0													20000
4021	神器21			4	3001	1	0	2	30020001	120	0													20000
4022	神器22			4	3002	1	0	2	30020001	160	0													20000
4023	神器23			4	3003	1	0	2	30020001	80	0													20000
4024	神器24			4	3004	1	0	2	30020001	100	0													20000
4025	神器25			4	3005	1	0	2	30020001	140	0													20000
4026	神器26			4	3006	1	0	2	30020001	160	0													20000
4027	神器27			4	3007	1	0	2	30020001	240	0													20000
4028	神器28			4	3008	1	0	2	30020001	80	0													20000
4029	神器29			4	3009	1	0	2	30020001	120	0													20000
4030	神器30			4	3010	1	0	2	30020001	200	0													20000
4031	神器31			4	4001	1	0	2	30020001	240	0													20000
4032	神器32			4	4002	1	0	2	30020001	320	0													20000
4033	神器33			4	4003	1	0	2	30020001	160	0													20000
4034	神器34			4	4004	1	0	2	30020001	220	0													20000
4035	神器35			4	4005	1	0	2	30020001	280	0													20000
4036	神器36			4	4006	1	0	2	30020001	280	0													20000
4037	神器37			4	4007	1	0	2	30020001	370	0													20000
4038	神器38			4	4008	1	0	2	30020001	190	0													20000
4039	神器39			4	4009	1	0	2	30020001	250	0													20000
4040	神器40			4	4010	1	0	2	30020001	310	0													20000
4041	神器41			4	5001	1	0	2	30020001	300	0													20000
4042	神器42			4	5002	1	0	2	30020001	390	0													20000
4043	神器43			4	5003	1	0	2	30020001	210	0													20000
4044	神器44			4	5004	1	0	2	30020001	270	0													20000
4045	神器45			4	5005	1	0	2	30020001	330	0													20000
4046	神器46			4	5006	1	0	2	30020001	320	0													20000
4047	神器47			4	5007	1	0	2	30020001	410	0													20000
4048	神器48			4	5008	1	0	2	30020001	230	0													20000
4049	神器49			4	5009	1	0	2	30020001	290	0													20000
4050	神器50			4	5010	1	0	2	30020001	350	0													20000
4051	神器51			4	6001	1	0	2	30020001	350	0													20000
4052	神器52			4	6002	1	0	2	30020001	460	0													20000
4053	神器53			4	6003	1	0	2	30020001	200	0													20000
4054	神器54			4	6004	1	0	2	30020001	340	0													20000
4055	神器55			4	6005	1	0	2	30020001	400	0													20000
4056	神器56			4	6006	1	0	2	30020001	400	0													20000
4057	神器57			4	6007	1	0	2	30020001	520	0													20000
4058	神器58			4	6008	1	0	2	30020001	200	0													20000
4059	神器59			4	6009	1	0	2	30020001	400	0													20000
4060	神器60			4	6010	1	0	2	30020001	480	0													20000
4061	神器61			4	7001	1	0	2	30020001	450	0													20000
4062	神器62			4	7002	1	0	2	30020001	600	0													20000
4063	神器63			4	7003	1	0	2	30020001	240	0													20000
4064	神器64			4	7004	1	0	2	30020001	480	0													20000
4065	神器65			4	7005	1	0	2	30020001	480	0													20000
4066	神器66			4	7006	1	0	2	30020001	480	0													20000
4067	神器67			4	7007	1	0	2	30020001	480	0													20000
4068	神器68			4	7008	1	0	2	30020001	480	0													20000
4069	神器69			4	7009	1	0	2	30020001	480	0													20000
4070	神器70			4	7010	1	0	2	30020001	480	0													20000
4071	神器71			4	8001	1	0	2	30020001	480	0													20000
4072	神器72			4	8002	1	0	2	30020001	480	0													20000
4073	神器73			4	8003	1	0	2	30020001	480	0													20000
4074	神器74			4	8004	1	0	2	30020001	480	0													20000
4075	神器75			4	8005	1	0	2	30020001	480	0													20000
4076	神器76			4	8006	1	0	2	30020001	480	0													20000
4077	神器77			4	8007	1	0	2	30020001	480	0													20000
4078	神器78			4	8008	1	0	2	30020001	480	0													20000
4079	神器79			4	8009	1	0	2	30020001	480	0													20000
4080	神器80			4	8010	1	0	2	30020001	480	0													20000
4081	神器81			4	9001	1	0	2	30020001	480	0													20000
4082	神器82			4	9002	1	0	2	30020001	480	0													20000
4083	神器83			4	9003	1	0	2	30020001	480	0													20000
4084	神器84			4	9004	1	0	2	30020001	480	0													20000
4085	神器85			4	9005	1	0	2	30020001	480	0													20000
4086	神器86			4	9006	1	0	2	30020001	480	0													20000
4087	神器87			4	9007	1	0	2	30020001	480	0													20000
4088	神器88			4	9008	1	0	2	30020001	480	0													20000
4089	神器89			4	9009	1	0	2	30020001	480	0													20000
4090	神器90			4	9010	1	0	2	30020001	480	0													20000
4091	神器91			4	10001	1	0	2	30020001	480	0													20000
4092	神器92			4	10002	1	0	2	30020001	480	0													20000
4093	神器93			4	10003	1	0	2	30020001	480	0													20000
4094	神器94			4	10004	1	0	2	30020001	480	0													20000
4095	神器95			4	10005	1	0	2	30020001	480	0													20000
4096	神器96			4	10006	1	0	2	30020001	480	0													20000
4097	神器97			4	10007	1	0	2	30020001	480	0													20000
4098	神器98			4	10008	1	0	2	30020001	480	0													20000
4099	神器99			4	10009	1	0	2	30020001	480	0													20000
4100	神器100			4	10010	1	0	2	30020001	480	0													20000
4101	神器101			4	11001	1	0	2	30020001	480	0													20000
4102	神器102			4	11002	1	0	2	30020001	480	0													20000
4103	神器103			4	11003	1	0	2	30020001	480	0													20000
4104	神器104			4	11004	1	0	2	30020001	480	0													20000
4105	神器105			4	11005	1	0	2	30020001	480	0													20000
4106	神器106			4	11006	1	0	2	30020001	480	0													20000
4107	神器107			4	11007	1	0	2	30020001	480	0													20000
4108	神器108			4	11008	1	0	2	30020001	480	0													20000
4109	神器109			4	11009	1	0	2	30020001	480	0													20000
4110	神器110			4	11010	1	0	2	30020001	480	0													20000
4111	神器111			4	12001	1	0	2	30020001	480	0													20000
4112	神器112			4	12002	1	0	2	30020001	480	0													20000
4113	神器113			4	12003	1	0	2	30020001	480	0													20000
4114	神器114			4	12004	1	0	2	30020001	480	0													20000
4115	神器115			4	12005	1	0	2	30020001	480	0													20000
4116	神器116			4	12006	1	0	2	30020001	480	0													20000
4117	神器117			4	12007	1	0	2	30020001	480	0													20000
4118	神器118			4	12008	1	0	2	30020001	480	0													20000
4119	神器119			4	12009	1	0	2	30020001	480	0													20000
4120	神器120			4	12010	1	0	2	30020001	480	0													20000
4121	神器121			4	13001	1	0	2	30020001	480	0													20000
4122	神器122			4	13002	1	0	2	30020001	480	0													20000
4123	神器123			4	13003	1	0	2	30020001	480	0													20000
4124	神器124			4	13004	1	0	2	30020001	480	0													20000
4125	神器125			4	13005	1	0	2	30020001	480	0													20000
4126	神器126			4	13006	1	0	2	30020001	480	0													20000
4127	神器127			4	13007	1	0	2	30020001	480	0													20000
4128	神器128			4	13008	1	0	2	30020001	480	0													20000
4129	神器129			4	13009	1	0	2	30020001	480	0													20000
4130	神器130			4	13010	1	0	2	30020001	480	0													20000
4131	神器131			4	14001	1	0	2	30020001	480	0													20000
4132	神器132			4	14002	1	0	2	30020001	480	0													20000
4133	神器133			4	14003	1	0	2	30020001	480	0													20000
4134	神器134			4	14004	1	0	2	30020001	480	0													20000
4135	神器135			4	14005	1	0	2	30020001	480	0													20000
4136	神器136			4	14006	1	0	2	30020001	480	0													20000
4137	神器137			4	14007	1	0	2	30020001	480	0													20000
4138	神器138			4	14008	1	0	2	30020001	480	0													20000
4139	神器139			4	14009	1	0	2	30020001	480	0													20000
4140	神器140			4	14010	1	0	2	30020001	480	0													20000
4141	神器141			4	15001	1	0	2	30020001	480	0													20000
4142	神器142			4	15002	1	0	2	30020001	480	0													20000
4143	神器143			4	15003	1	0	2	30020001	480	0													20000
4144	神器144			4	15004	1	0	2	30020001	480	0													20000
4145	神器145			4	15005	1	0	2	30020001	480	0													20000
4146	神器146			4	15006	1	0	2	30020001	480	0													20000
4147	神器147			4	15007	1	0	2	30020001	480	0													20000
4148	神器148			4	15008	1	0	2	30020001	480	0													20000
4149	神器149			4	15009	1	0	2	30020001	480	0													20000
4150	神器150			4	15010	1	0	2	30020001	480	0													20000
4151	神器151			4	1101	1	0	2	30020001	480	0													20000
4152	神器152			4	1102	1	0	2	30020001	480	0													20000
4153	神器153			4	1103	1	0	2	30020001	480	0													20000
4154	神器154			4	1104	1	0	2	30020001	480	0													20000
4155	神器155			4	1105	1	0	2	30020001	480	0													20000
4156	神器156			4	2101	1	0	2	30020001	480	0													20000
4157	神器157			4	2102	1	0	2	30020001	480	0													20000
4158	神器158			4	2103	1	0	2	30020001	480	0													20000
4159	神器159			4	2104	1	0	2	30020001	480	0													20000
4160	神器160			4	2105	1	0	2	30020001	480	0													20000
4161	神器161			4	3101	1	0	2	30020001	480	0													20000
4162	神器162			4	3102	1	0	2	30020001	480	0													20000
