id	NAME	代号	icon	icon1	等级	类型	颜色	属性1	属性1	价值	获得途径
3009	9级物防宝石	t_rune_name_3009	3001	s3001	9	3	5	23	9	12800	11
3010	10级物防宝石	t_rune_name_3010	3001	s3001	10	3	5	23	10	25600	11
4001	1级魔防宝石	t_rune_name_4001	4001	s4001	1	4	1	24	1	50	11
4002	2级魔防宝石	t_rune_name_4002	4001	s4001	2	4	1	24	2	100	11
4003	3级魔防宝石	t_rune_name_4003	4001	s4001	3	4	2	24	3	200	11
4004	4级魔防宝石	t_rune_name_4004	4001	s4001	4	4	2	24	4	400	11
4005	5级魔防宝石	t_rune_name_4005	4001	s4001	5	4	3	24	5	800	11
4006	6级魔防宝石	t_rune_name_4006	4001	s4001	6	4	3	24	6	1600	11
4007	7级魔防宝石	t_rune_name_4007	4001	s4001	7	4	4	24	7	3200	11
4008	8级魔防宝石	t_rune_name_4008	4001	s4001	8	4	4	24	8	6400	11
4009	9级魔防宝石	t_rune_name_4009	4001	s4001	9	4	5	24	9	12800	11
4010	10级魔防宝石	t_rune_name_4010	4001	s4001	10	4	5	24	10	25600	11
5001	1级命中宝石	t_rune_name_5001	5001	s5001	1	5	1	31	1	50	11
5002	2级命中宝石	t_rune_name_5002	5001	s5001	2	5	1	31	2	100	11
5003	3级命中宝石	t_rune_name_5003	5001	s5001	3	5	2	31	3	200	11
5004	4级命中宝石	t_rune_name_5004	5001	s5001	4	5	2	31	4	400	11
5005	5级命中宝石	t_rune_name_5005	5001	s5001	5	5	3	31	5	800	11
5006	6级命中宝石	t_rune_name_5006	5001	s5001	6	5	3	31	6	1600	11
5007	7级命中宝石	t_rune_name_5007	5001	s5001	7	5	4	31	7	3200	11
5008	8级命中宝石	t_rune_name_5008	5001	s5001	8	5	4	31	8	6400	11
5009	9级命中宝石	t_rune_name_5009	5001	s5001	9	5	5	31	9	12800	11
5010	10级命中宝石	t_rune_name_5010	5001	s5001	10	5	5	31	10	25600	11
6001	1级闪避宝石	t_rune_name_6001	6001	s6001	1	6	1	32	1	50	11
6002	2级闪避宝石	t_rune_name_6002	6001	s6001	2	6	1	32	2	100	11
6003	3级闪避宝石	t_rune_name_6003	6001	s6001	3	6	2	32	3	200	11
6004	4级闪避宝石	t_rune_name_6004	6001	s6001	4	6	2	32	4	400	11
6005	5级闪避宝石	t_rune_name_6005	6001	s6001	5	6	3	32	5	800	11
6006	6级闪避宝石	t_rune_name_6006	6001	s6001	6	6	3	32	6	1600	11
6007	7级闪避宝石	t_rune_name_6007	6001	s6001	7	6	4	32	7	3200	11
6008	8级闪避宝石	t_rune_name_6008	6001	s6001	8	6	4	32	8	6400	11
6009	9级闪避宝石	t_rune_name_6009	6001	s6001	9	6	5	32	9	12800	11
6010	10级闪避宝石	t_rune_name_6010	6001	s6001	10	6	5	32	10	25600	11
7001	1级暴击宝石	t_rune_name_7001	7001	s7001	1	7	1	33	1	50	11
7002	2级暴击宝石	t_rune_name_7002	7001	s7001	2	7	1	33	2	100	11
7003	3级暴击宝石	t_rune_name_7003	7001	s7001	3	7	2	33	3	200	11
7004	4级暴击宝石	t_rune_name_7004	7001	s7001	4	7	2	33	4	400	11
7005	5级暴击宝石	t_rune_name_7005	7001	s7001	5	7	3	33	5	800	11
7006	6级暴击宝石	t_rune_name_7006	7001	s7001	6	7	3	33	6	1600	11
7007	7级暴击宝石	t_rune_name_7007	7001	s7001	7	7	4	33	7	3200	11
7008	8级暴击宝石	t_rune_name_7008	7001	s7001	8	7	4	33	8	6400	11
7009	9级暴击宝石	t_rune_name_7009	7001	s7001	9	7	5	33	9	12800	11
7010	10级暴击宝石	t_rune_name_7010	8001	s8001	10	7	5	33	10	25600	11
8001	1级抗暴宝石	t_rune_name_8001	8001	s8001	1	8	1	34	1	50	11
8002	2级抗暴宝石	t_rune_name_8002	8001	s8001	2	8	1	34	2	100	11
8003	3级抗暴宝石	t_rune_name_8003	8001	s8001	3	8	2	34	3	200	11
8004	4级抗暴宝石	t_rune_name_8004	8001	s8001	4	8	2	34	4	400	11
8005	5级抗暴宝石	t_rune_name_8005	8001	s8001	5	8	3	34	5	800	11
8006	6级抗暴宝石	t_rune_name_8006	8001	s8001	6	8	3	34	6	1600	11
8007	7级抗暴宝石	t_rune_name_8007	8001	s8001	7	8	4	34	7	3200	11
8008	8级抗暴宝石	t_rune_name_8008	8001	s8001	8	8	4	34	8	6400	11
8009	9级抗暴宝石	t_rune_name_8009	8001	s8001	9	8	5	34	9	12800	11
8010	10级抗暴宝石	t_rune_name_8010	8001	s8001	10	8	5	34	10	25600	11
