id	随机对话	怪物id	随机被动	经验倍率	金币倍率	掉落组1	掉落组1概率	掉落1次数	掉落组2	掉落组2概率	掉落2次数	掉落组3	掉落组3概率	掉落3次数	type0	id	value1	value2	value3	rate	掉落次数	type1	value1	value2	value3	rate	掉落次数	type2	value1	value2	value3	rate	掉落次数
6003	1003	106108	1003	5	5	2006	300000	3							2	6003	50010102	1	0	600000	5	2	30020001	1	0	50000	2						
6004	1003	106109	1004	5	5	2006	400000	3	3006	50000	1				2	6004	50010202	1	0	120000	5	2	30020001	1	0	50000	2						
6005	1004	106110	1004	5	5	2006	400000	3	3006	50000	1				2	6005	50010302	1	0	600000	5	2	30020001	1	0	50000	2						
7001	1001	107106	1001	5	5	2007	150000	3							2	7001	50010403	1	0	600000	5	2	30020001	1	0	50000	2						
7002	1002	107107	1002	5	5	2007	300000	3							2	7002	50010103	1	0	120000	5	2	30020001	1	0	50000	2						
7003	1003	107108	1003	5	5	2007	300000	3							2	7003	50010203	1	0	600000	5	2	30020001	1	0	50000	2						
7004	1003	107109	1004	5	5	2007	400000	3	3007	50000	1				2	7004	50010303	1	0	120000	5	2	30020001	1	0	50000	2						
7005	1004	107110	1004	5	5	2007	400000	3	3007	50000	1				2	7005	50010403	1	0	600000	5	2	30020001	1	0	50000	2						
8001	1001	108106	1001	5	5	2008	150000	3							2	8001	50010103	1	0	600000	5	2	30020001	1	0	50000	2						
8002	1002	108107	1002	5	5	2008	300000	3							2	8002	50010203	1	0	120000	5	2	30020001	1	0	50000	2						
8003	1003	108108	1003	5	5	2008	300000	3							2	8003	50010303	1	0	600000	5	2	30020001	1	0	50000	2						
8004	1003	108109	1004	5	5	2008	400000	3	3008	50000	1				2	8004	50010403	1	0	120000	5	2	30020001	1	0	50000	2						
8005	1004	108110	1004	5	5	2008	400000	3	3008	50000	1				2	8005	50010103	1	0	600000	5	2	30020001	1	0	50000	2						
9001	1001	109106	1001	5	5	2009	150000	3							2	9001	50010203	1	0	600000	5	2	30020001	1	0	50000	2						
9002	1002	109107	1002	5	5	2009	300000	3							2	9002	50010303	1	0	120000	5	2	30020001	1	0	50000	2						
9003	1003	109108	1003	5	5	2009	300000	3							2	9003	50010403	1	0	600000	5	2	30020001	1	0	50000	2						
9004	1003	109109	1004	5	5	2009	400000	3	3009	50000	1				2	9004	50010103	1	0	120000	5	2	30020001	1	0	50000	2						
9005	1004	109110	1004	5	5	2009	400000	3	3009	50000	1				2	9005	50010203	1	0	600000	5	2	30020001	1	0	50000	2						
10001	1001	110106	1001	5	5	2010	150000	3							2	10001	50010304	1	0	600000	5	2	30020001	1	0	50000	2						
10002	1002	110107	1002	5	5	2010	300000	3							2	10002	50010404	1	0	120000	5	2	30020001	1	0	50000	2						
10003	1003	110108	1003	5	5	2010	300000	3							2	10003	50010104	1	0	600000	5	2	30020001	1	0	50000	2						
10004	1003	110109	1004	5	5	2010	400000	3	3010	50000	1				2	10004	50010204	1	0	120000	5	2	30020001	1	0	50000	2						
10005	1004	110110	1004	5	5	2010	400000	3	3010	50000	1				2	10005	50010304	1	0	600000	5	2	30020001	1	0	50000	2						
11001	1001	111106	1001	5	5	2011	150000	3							2	11001	50010404	1	0	600000	5	2	30020001	1	0	50000	2						
11002	1002	111107	1002	5	5	2011	300000	3							2	11002	50010104	1	0	120000	5	2	30020001	1	0	50000	2						
11003	1003	111108	1003	5	5	2011	300000	3							2	11003	50010204	1	0	600000	5	2	30020001	1	0	50000	2						
11004	1003	111109	1004	5	5	2011	400000	3	3011	50000	1				2	11004	50010304	1	0	120000	5	2	30020001	1	0	50000	2						
11005	1004	111110	1004	5	5	2011	400000	3	3011	50000	1				2	11005	50010404	1	0	600000	5	2	30020001	1	0	50000	2						
12001	1001	112106	1001	5	5	2012	150000	3							2	12001	50010104	1	0	600000	5	2	30020001	1	0	50000	2						
12002	1002	112107	1002	5	5	2012	300000	3							2	12002	50010204	1	0	120000	5	2	30020001	1	0	50000	2						
12003	1003	112108	1003	5	5	2012	300000	3							2	12003	50010304	1	0	600000	5	2	30020001	1	0	50000	2						
12004	1003	112109	1004	5	5	2012	400000	3	3012	50000	1				2	12004	50010404	1	0	120000	5	2	30020001	1	0	50000	2						
12005	1004	112110	1004	5	5	2012	400000	3	3012	50000	1				2	12005	50010104	1	0	600000	5	2	30020001	1	0	50000	2						
13001	1001	113106	1001	5	5	2013	150000	3							2	13001	50010205	1	0	600000	5	2	30020001	1	0	50000	2						
13002	1002	113107	1002	5	5	2013	300000	3							2	13002	50010305	1	0	120000	5	2	30020001	1	0	50000	2						
13003	1003	113108	1003	5	5	2013	300000	3							2	13003	50010405	1	0	600000	5	2	30020001	1	0	50000	2						
13004	1003	113109	1004	5	5	2013	400000	3	3013	50000	1				2	13004	50010105	1	0	120000	5	2	30020001	1	0	50000	2						
13005	1004	113110	1004	5	5	2013	400000	3	3013	50000	1				2	13005	50010205	1	0	600000	5	2	30020001	1	0	50000	2						
14001	1001	114106	1001	5	5	2014	150000	3							2	14001	50010305	1	0	600000	5	2	30020001	1	0	50000	2						
14002	1002	114107	1002	5	5	2014	300000	3							2	14002	50010405	1	0	120000	5	2	30020001	1	0	50000	2						
14003	1003	114108	1003	5	5	2014	300000	3							2	14003	50010105	1	0	600000	5	2	30020001	1	0	50000	2						
14004	1003	114109	1004	5	5	2014	400000	3	3014	50000	1				2	14004	50010205	1	0	120000	5	2	30020001	1	0	50000	2						
14005	1004	114110	1004	5	5	2014	400000	3	3014	50000	1				2	14005	50010305	1	0	600000	5	2	30020001	1	0	50000	2						
15001	1001	115106	1001	5	5	2015	150000	3							2	15001	50010405	1	0	600000	5	2	30020001	1	0	50000	2						
15002	1002	115107	1002	5	5	2015	300000	3							2	15002	50010105	1	0	120000	5	2	30020001	1	0	50000	2						
15003	1003	115108	1003	5	5	2015	300000	3							2	15003	50010205	1	0	600000	5	2	30020001	1	0	50000	2						
15004	1003	115109	1004	5	5	2015	400000	3	3015	50000	1				2	15004	50010305	1	0	120000	5	2	30020001	1	0	50000	2						
15005	1004	115110	1004	5	5	2015	400000	3	3015	50000	1				2	15005	50010405	1	0	600000	5	2	30020001	1	0	50000	2						
103001	1001	103101	1001	5	5	103001	200000	1	103002	50000	1	103003	5000	1	2	103001	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
103002	1002	103102	1002	5	5	103001	200000	1	103002	50000	1	103003	5000	1	2	103002	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
103003	1003	103103	1003	5	5	103001	200000	1	103002	50000	1	103003	5000	1	2	103003	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
103004	1003	103104	1003	5	5	103001	200000	1	103002	50000	1	103003	5000	1	2	103004	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
103005	1004	103105	1004	5	5	103001	200000	1	103002	50000	1	103003	5000	1	2	103005	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
103006	1001	103106	1004	5	5	103001	200000	1	103002	50000	1	103003	5000	1	2	103006	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
104001	1002	104101	1001	5	5	104001	200000	1	104002	50000	1	104003	5000	1	2	104001	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
104002	1003	104102	1002	5	5	104001	200000	1	104002	50000	1	104003	5000	1	2	104002	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
104003	1003	104103	1003	5	5	104001	200000	1	104002	50000	1	104003	5000	1	2	104003	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
104004	1004	104104	1003	5	5	104001	200000	1	104002	50000	1	104003	5000	1	2	104004	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
104005	1001	104105	1004	5	5	104001	200000	1	104002	50000	1	104003	5000	1	2	104005	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
104006	1002	104106	1004	5	5	104001	200000	1	104002	50000	1	104003	5000	1	2	104006	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
105001	1003	105101	1001	5	5	105001	200000	1	105002	50000	1	105003	5000	1	2	105001	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
105002	1003	105102	1002	5	5	105001	200000	1	105002	50000	1	105003	5000	1	2	105002	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
105003	1004	105103	1003	5	5	105001	200000	1	105002	50000	1	105003	5000	1	2	105003	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
105004	1001	105104	1003	5	5	105001	200000	1	105002	50000	1	105003	5000	1	2	105004	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
105005	1002	105105	1004	5	5	105001	200000	1	105002	50000	1	105003	5000	1	2	105005	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
105006	1003	105106	1004	5	5	105001	200000	1	105002	50000	1	105003	5000	1	2	105006	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
106001	1003	106101	1001	5	5	106001	200000	1	106002	50000	1	106003	5000	1	2	106001	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
106002	1004	106102	1002	5	5	106001	200000	1	106002	50000	1	106003	5000	1	2	106002	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
106003	1001	106103	1003	5	5	106001	200000	1	106002	50000	1	106003	5000	1	2	106003	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
106004	1002	106104	1003	5	5	106001	200000	1	106002	50000	1	106003	5000	1	2	106004	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
106005	1003	106105	1004	5	5	106001	200000	1	106002	50000	1	106003	5000	1	2	106005	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
106006	1003	106106	1004	5	5	106001	200000	1	106002	50000	1	106003	5000	1	2	106006	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
107001	1004	107101	1001	5	5	107001	200000	1	107002	50000	1	107003	5000	1	2	107001	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
107002	1001	107102	1002	5	5	107001	200000	1	107002	50000	1	107003	5000	1	2	107002	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
107003	1002	107103	1003	5	5	107001	200000	1	107002	50000	1	107003	5000	1	2	107003	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
107004	1003	107104	1003	5	5	107001	200000	1	107002	50000	1	107003	5000	1	2	107004	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
107005	1003	107105	1004	5	5	107001	200000	1	107002	50000	1	107003	5000	1	2	107005	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
107006	1004	107106	1004	5	5	107001	200000	1	107002	50000	1	107003	5000	1	2	107006	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
108001	1001	108101	1001	5	5	108001	200000	1	108002	50000	1	108003	5000	1	2	108001	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
108002	1002	108102	1002	5	5	108001	200000	1	108002	50000	1	108003	5000	1	2	108002	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
108003	1003	108103	1003	5	5	108001	200000	1	108002	50000	1	108003	5000	1	2	108003	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
108004	1003	108104	1003	5	5	108001	200000	1	108002	50000	1	108003	5000	1	2	108004	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
108005	1004	108105	1004	5	5	108001	200000	1	108002	50000	1	108003	5000	1	2	108005	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
108006	1001	108106	1004	5	5	108001	200000	1	108002	50000	1	108003	5000	1	2	108006	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
109001	1002	109101	1001	5	5	109001	200000	1	109002	50000	1	109003	5000	1	2	109001	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
109002	1003	109102	1002	5	5	109001	200000	1	109002	50000	1	109003	5000	1	2	109002	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
109003	1003	109103	1003	5	5	109001	200000	1	109002	50000	1	109003	5000	1	2	109003	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
109004	1004	109104	1003	5	5	109001	200000	1	109002	50000	1	109003	5000	1	2	109004	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
109005	1001	109105	1004	5	5	109001	200000	1	109002	50000	1	109003	5000	1	2	109005	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
109006	1002	109106	1004	5	5	109001	200000	1	109002	50000	1	109003	5000	1	2	109006	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
110001	1003	110101	1001	5	5	110001	200000	1	110002	50000	1	110003	5000	1	2	110001	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
110002	1003	110102	1002	5	5	110001	200000	1	110002	50000	1	110003	5000	1	2	110002	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
110003	1004	110103	1003	5	5	110001	200000	1	110002	50000	1	110003	5000	1	2	110003	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
110004	1001	110104	1003	5	5	110001	200000	1	110002	50000	1	110003	5000	1	2	110004	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
110005	1002	110105	1004	5	5	110001	200000	1	110002	50000	1	110003	5000	1	2	110005	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
110006	1003	110106	1004	5	5	110001	200000	1	110002	50000	1	110003	5000	1	2	110006	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
111001	1003	111101	1001	5	5	111001	200000	1	111002	50000	1	111003	5000	1	2	111001	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
111002	1004	111102	1002	5	5	111001	200000	1	111002	50000	1	111003	5000	1	2	111002	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
111003	1001	111103	1003	5	5	111001	200000	1	111002	50000	1	111003	5000	1	2	111003	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
111004	1002	111104	1003	5	5	111001	200000	1	111002	50000	1	111003	5000	1	2	111004	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
111005	1003	111105	1004	5	5	111001	200000	1	111002	50000	1	111003	5000	1	2	111005	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
111006	1003	111106	1004	5	5	111001	200000	1	111002	50000	1	111003	5000	1	2	111006	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
112001	1004	112101	1001	5	5	112001	200000	1	112002	50000	1	112003	5000	1	2	112001	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
112002	1001	112102	1002	5	5	112001	200000	1	112002	50000	1	112003	5000	1	2	112002	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
112003	1002	112103	1003	5	5	112001	200000	1	112002	50000	1	112003	5000	1	2	112003	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
112004	1003	112104	1003	5	5	112001	200000	1	112002	50000	1	112003	5000	1	2	112004	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
112005	1003	112105	1004	5	5	112001	200000	1	112002	50000	1	112003	5000	1	2	112005	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
112006	1004	112106	1004	5	5	112001	200000	1	112002	50000	1	112003	5000	1	2	112006	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
113001	1001	113101	1001	5	5	113001	200000	1	113002	50000	1	113003	5000	1	2	113001	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
113002	1002	113102	1002	5	5	113001	200000	1	113002	50000	1	113003	5000	1	2	113002	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
113003	1003	113103	1003	5	5	113001	200000	1	113002	50000	1	113003	5000	1	2	113003	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
113004	1003	113104	1003	5	5	113001	200000	1	113002	50000	1	113003	5000	1	2	113004	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
113005	1004	113105	1004	5	5	113001	200000	1	113002	50000	1	113003	5000	1	2	113005	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
113006	1001	113106	1004	5	5	113001	200000	1	113002	50000	1	113003	5000	1	2	113006	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
114001	1002	114101	1001	5	5	114001	200000	1	114002	50000	1	114003	5000	1	2	114001	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
114002	1003	114102	1002	5	5	114001	200000	1	114002	50000	1	114003	5000	1	2	114002	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
114003	1003	114103	1003	5	5	114001	200000	1	114002	50000	1	114003	5000	1	2	114003	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
114004	1004	114104	1003	5	5	114001	200000	1	114002	50000	1	114003	5000	1	2	114004	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
114005	1001	114105	1004	5	5	114001	200000	1	114002	50000	1	114003	5000	1	2	114005	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
114006	1002	114106	1004	5	5	114001	200000	1	114002	50000	1	114003	5000	1	2	114006	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
115001	1003	115101	1001	5	5	115001	200000	1	115002	50000	1	115003	5000	1	2	115001	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
115002	1003	115102	1002	5	5	115001	200000	1	115002	50000	1	115003	5000	1	2	115002	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
115003	1004	115103	1003	5	5	115001	200000	1	115002	50000	1	115003	5000	1	2	115003	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
115004	1001	115104	1003	5	5	115001	200000	1	115002	50000	1	115003	5000	1	2	115004	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
115005	1002	115105	1004	5	5	115001	200000	1	115002	50000	1	115003	5000	1	2	115005	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
115006	1003	115106	1004	5	5	115001	200000	1	115002	50000	1	115003	5000	1	2	115006	30050001	1	0	1000000	1	2	30050001	1	0	200000	5						
