标识	章节	类型	难度	X	Y	冷却	前置任务	对话	怪	经验倍率	金币倍率	掉落组1	掉落组1概率	掉落1次数	掉落组2	掉落组2概率	掉落2次数	type0	value1	value2	value3	rate	掉落次数	type1	value1	value2	value3	rate	掉落次数	type2	value1	value2	value3	rate	掉落次数
200601	2	2	5	34	15	1800000	10205000	40201006	2006	1000	1000	1002	50000	4	2002	10000	1	2	50010401	1	0	300000	10	2	50010502	1	0	750000	1						
200602	2	1	4	34	15			40201006	2006	200	200	1002	20000	1				2	50010401	1	0	300000	2												
200603	2	1	1	34	15			40201006	2006	100	100	1002	10000	1				2	50010401	1	0	300000	1												
200701	2	2	5	50	22	1800000	10206000	40201007	2007	1000	1000	1002	50000	4	2002	10000	1	2	50010101	1	0	300000	10	2	50010502	1	0	750000	1						
200702	2	1	4	50	22			40201007	2007	200	200	1002	20000	1				2	50010101	1	0	300000	2												
200703	2	1	1	50	22			40201007	2007	100	100	1002	10000	1				2	50010101	1	0	300000	1												
200801	2	2	5	67	39	1800000	10207000	40201008	2008	1000	1000	1002	50000	4	2002	10000	1	2	50010201	1	0	300000	10	2	50010502	1	0	750000	1						
200802	2	1	4	67	39			40201008	2008	200	200	1002	20000	1				2	50010201	1	0	300000	2												
200803	2	1	1	67	39			40201008	2008	100	100	1002	10000	1				2	50010201	1	0	300000	1												
200901	2	2	5	59	46	1800000	10208000	40201009	2009	1000	1000	1002	50000	4	2002	10000	1	2	50010301	1	0	300000	10	2	50010502	1	0	750000	1						
200902	2	1	4	59	46			40201009	2009	200	200	1002	20000	1				2	50010301	1	0	300000	2												
200903	2	1	1	59	46			40201009	2009	100	100	1002	10000	1				2	50010301	1	0	300000	1												
201001	2	2	5	52	44	1800000	10209000	40201010	2010	1000	1000	1002	50000	4	2002	10000	1	2	50010401	1	0	300000	10	2	50010502	1	0	750000	1						
201002	2	1	4	52	44			40201010	2010	200	200	1002	20000	1				2	50010401	1	0	300000	2												
201003	2	1	1	52	44			40201010	2010	100	100	1002	10000	1				2	50010401	1	0	300000	1												
300101	3	2	5	60	34	1800000		40301001	3001	1000	1000	1003	50000	2	2003	10000	1	2	50010101	1	0	200000	10	2	50010503	1	0	500000	1						
300102	3	1	4	60	34			40301001	3001	200	200	1003	20000	1				2	50010101	1	0	200000	2												
300103	3	1	1	60	34			40301001	3001	100	100	1003	10000	1				2	50010101	1	0	200000	1												
300201	3	2	5	62	65	1800000	10301000	40301002	3002	1000	1000	1003	50000	2	2003	10000	1	2	50010201	1	0	200000	10	2	50010503	1	0	500000	1						
300202	3	1	4	62	65			40301002	3002	200	200	1003	20000	1				2	50010201	1	0	200000	2												
300203	3	1	1	62	65			40301002	3002	100	100	1003	10000	1				2	50010201	1	0	200000	1												
300301	3	2	5	34	20	1800000	10302000	40301003	3003	1000	1000	1003	50000	2	2003	10000	1	2	50010301	1	0	200000	10	2	50010503	1	0	500000	1						
300302	3	1	4	34	20			40301003	3003	200	200	1003	20000	1				2	50010301	1	0	200000	2												
300303	3	1	1	34	20			40301003	3003	100	100	1003	10000	1				2	50010301	1	0	200000	1												
300401	3	2	5	52	54	1800000	10303000	40301004	3004	1000	1000	1003	50000	2	2003	10000	1	2	50010401	1	0	200000	10	2	50010503	1	0	500000	1						
300402	3	1	4	52	54			40301004	3004	200	200	1003	20000	1				2	50010401	1	0	200000	2												
300403	3	1	1	52	54			40301004	3004	100	100	1003	10000	1				2	50010401	1	0	200000	1												
300501	3	2	5	43	54	1800000	10304000	40301005	3005	1000	1000	1003	50000	2	2003	10000	1	2	50010101	1	0	200000	10	2	50010503	1	0	500000	1						
300502	3	1	4	43	54			40301005	3005	200	200	1003	20000	1				2	50010101	1	0	200000	2												
300503	3	1	1	43	54			40301005	3005	100	100	1003	10000	1				2	50010101	1	0	200000	1												
300601	3	2	5	26	31	1800000	10305000	40301006	3006	1000	1000	1003	50000	2	2003	10000	1	2	50010201	1	0	200000	10	2	50010503	1	0	500000	1						
300602	3	1	4	26	31			40301006	3006	200	200	1003	20000	1				2	50010201	1	0	200000	2												
300603	3	1	1	26	31			40301006	3006	100	100	1003	10000	1				2	50010201	1	0	200000	1												
300701	3	2	5	16	38	1800000	10306000	40301007	3007	1000	1000	1003	50000	2	2003	10000	1	2	50010301	1	0	200000	10	2	50010503	1	0	500000	1						
300702	3	1	4	16	38			40301007	3007	200	200	1003	20000	1				2	50010301	1	0	200000	2												
300703	3	1	1	16	38			40301007	3007	100	100	1003	10000	1				2	50010301	1	0	200000	1												
300801	3	2	5	41	65	1800000	10307000	40301008	3008	1000	1000	1003	50000	2	2003	10000	1	2	50010401	1	0	200000	10	2	50010503	1	0	500000	1						
300802	3	1	4	41	65			40301008	3008	200	200	1003	20000	1				2	50010401	1	0	200000	2												
300803	3	1	1	41	65			40301008	3008	100	100	1003	10000	1				2	50010401	1	0	200000	1												
300901	3	2	5	28	52	1800000	10308000	40301009	3009	1000	1000	1003	50000	2	2003	10000	1	2	50010101	1	0	200000	10	2	50010503	1	0	500000	1						
300902	3	1	4	28	52			40301009	3009	200	200	1003	20000	1				2	50010101	1	0	200000	2												
300903	3	1	1	28	52			40301009	3009	100	100	1003	10000	1				2	50010101	1	0	200000	1												
301001	3	2	5	51	74	1800000	10309000	40301010	3010	1000	1000	1003	50000	2	2003	10000	1	2	50010201	1	0	200000	10	2	50010503	1	0	500000	1						
301002	3	1	4	51	74			40301010	3010	200	200	1003	20000	1				2	50010201	1	0	200000	2												
301003	3	1	1	51	74			40301010	3010	100	100	1003	10000	1				2	50010201	1	0	200000	1												
400101	4	2	5			1800000			4001																										
400102	4	1	4						4001																										
400103	4	1	1						4001																										
400201	4	2	5			1800000	10401000		4002																										
400202	4	1	4						4002																										
400203	4	1	1						4002																										
400301	4	2	5			1800000	10402000		4003																										
400302	4	1	4						4003																										
400303	4	1	1						4003																										
400401	4	2	5			1800000	10403000		4004																										
400402	4	1	4						4004																										
400403	4	1	1						4004																										
400501	4	2	5			1800000	10404000		4005																										
400502	4	1	4						4005																										
400503	4	1	1						4005																										
400601	4	2	5			1800000	10405000		4006																										
400602	4	1	4						4006																										
400603	4	1	1						4006																										
400701	4	2	5			1800000	10406000		4007																										
400702	4	1	4						4007																										
400703	4	1	1						4007																										
400801	4	2	5			1800000	10407000		4008																										
400802	4	1	4						4008																										
400803	4	1	1						4008																										
400901	4	2	5			1800000	10408000		4009																										
400902	4	1	4						4009																										
400903	4	1	1						4009																										
401001	4	2	5			1800000	10409000		4010																										
401002	4	1	4						4010																										
401003	4	1	1						4010																										
500101	5	2	5	25	53	1800000			5001																										
500102	5	1	4	25	53				5001																										
500103	5	1	1	25	53				5001																										
500201	5	2	5	38	66	1800000	10501000		5002																										
500202	5	1	4	38	66				5002																										
500203	5	1	1	38	66				5002																										
500301	5	2	5	51	73	1800000	10502000		5003																										
500302	5	1	4	51	73				5003																										
500303	5	1	1	51	73				5003																										
500401	5	2	5	45	55	1800000	10503000		5004																										
500402	5	1	4	45	55				5004																										
500403	5	1	1	45	55				5004																										
500501	5	2	5	58	68	1800000	10504000		5005																										
500502	5	1	4	58	68				5005																										
500503	5	1	1	58	68				5005																										
500601	5	2	5	61	56	1800000	10505000		5006																										
500602	5	1	4	61	56				5006																										
500603	5	1	1	61	56				5006																										
500701	5	2	5	67	37	1800000	10506000		5007																										
500702	5	1	4	67	37				5007																										
500703	5	1	1	67	37				5007																										
500801	5	2	5	54	27	1800000	10507000		5008																										
500802	5	1	4	54	27				5008																										
500803	5	1	1	54	27				5008																										
500901	5	2	5	39	15	1800000	10508000		5009																										
500902	5	1	4	39	15				5009																										
500903	5	1	1	39	15				5009																										
501001	5	2	5	32	28	1800000	10509000		5010																										
501002	5	1	4	32	28				5010																										
501003	5	1	1	32	28				5010																										
600101	6	2	5			1800000			6001																										
600102	6	1	4						6001																										
600103	6	1	1						6001																										
600201	6	2	5			1800000			6002																										
600202	6	1	4						6002																										
600203	6	1	1						6002																										
600301	6	2	5			1800000			6003																										
600302	6	1	4						6003																										
600303	6	1	1						6003																										
600401	6	2	5			1800000			6004																										
600402	6	1	4						6004																										
600403	6	1	1						6004																										
600501	6	2	5			1800000			6005																										
600502	6	1	4						6005																										
600503	6	1	1						6005																										
600601	6	2	5			1800000			6006																										
600602	6	1	4						6006																										
600603	6	1	1						6006																										
600701	6	2	5			1800000			6007																										
600702	6	1	4						6007																										
600703	6	1	1						6007																										
600801	6	2	5			1800000			6008																										
600802	6	1	4						6008																										
600803	6	1	1						6008																										
600901	6	2	5			1800000			6009																										
600902	6	1	4						6009																										
600903	6	1	1						6009																										
601001	6	2	5			1800000			6010																										
601002	6	1	4						6010																										
601003	6	1	1						6010																										
700101	7	2	5			1800000			7001																										
700102	7	1	4						7001																										
700103	7	1	1						7001																										
700201	7	2	5			1800000			7002																										
700202	7	1	4						7002																										
700203	7	1	1						7002																										
700301	7	2	5			1800000			7003																										
700302	7	1	4						7003																										
700303	7	1	1						7003																										
700401	7	2	5			1800000			7004																										
700402	7	1	4						7004																										
700403	7	1	1						7004																										
700501	7	2	5			1800000			7005																										
700502	7	1	4						7005																										
700503	7	1	1						7005																										
700601	7	2	5			1800000			7006																										
700602	7	1	4						7006																										
700603	7	1	1						7006																										
700701	7	2	5			1800000			7007																										
700702	7	1	4						7007																										
700703	7	1	1						7007																										
700801	7	2	5			1800000			7008																										
700802	7	1	4						7008																										
700803	7	1	1						7008																										
700901	7	2	5			1800000			7009																										
700902	7	1	4						7009																										
700903	7	1	1						7009																										
701001	7	2	5			1800000			7010																										
701002	7	1	4						7010																										
701003	7	1	1						7010																										
800101	8	2	5			1800000			8001																										
800102	8	1	4						8001																										
800103	8	1	1						8001																										
800201	8	2	5			1800000			8002																										
800202	8	1	4						8002																										
800203	8	1	1						8002																										
800301	8	2	5			1800000			8003																										
800302	8	1	4						8003																										
800303	8	1	1						8003																										
800401	8	2	5			1800000			8004																										
800402	8	1	4						8004																										
800403	8	1	1						8004																										
800501	8	2	5			1800000			8005																										
800502	8	1	4						8005																										
800503	8	1	1						8005																										
800601	8	2	5			1800000			8006																										
800602	8	1	4						8006																										
800603	8	1	1						8006																										
800701	8	2	5			1800000			8007																										
800702	8	1	4						8007																										
800703	8	1	1						8007																										
800801	8	2	5			1800000			8008																										
800802	8	1	4						8008																										
800803	8	1	1						8008																										
800901	8	2	5			1800000			8009																										
800902	8	1	4						8009																										
800903	8	1	1						8009																										
801001	8	2	5			1800000			8010																										
801002	8	1	4						8010																										
801003	8	1	1						8010																										
900101	9	2	5			1800000			9001																										
900102	9	1	4						9001																										
900103	9	1	1						9001																										
900201	9	2	5			1800000			9002																										
900202	9	1	4						9002																										
900203	9	1	1						9002																										
900301	9	2	5			1800000			9003																										
900302	9	1	4						9003																										
900303	9	1	1						9003																										
900401	9	2	5			1800000			9004																										
900402	9	1	4						9004																										
900403	9	1	1						9004																										
900501	9	2	5			1800000			9005																										
900502	9	1	4						9005																										
900503	9	1	1						9005																										
900601	9	2	5			1800000			9006																										
900602	9	1	4						9006																										
900603	9	1	1						9006																										
900701	9	2	5			1800000			9007																										
900702	9	1	4						9007																										
900703	9	1	1						9007																										
900801	9	2	5			1800000			9008																										
900802	9	1	4						9008																										
900803	9	1	1						9008																										
900901	9	2	5			1800000			9009																										
900902	9	1	4						9009																										
900903	9	1	1						9009																										
901001	9	2	5			1800000			9010																										
901002	9	1	4						9010																										
901003	9	1	1						9010																										
1000101	10	2	5			1800000			10001																										
1000102	10	1	4						10001																										
1000103	10	1	1						10001																										
1000201	10	2	5			1800000			10002																										
1000202	10	1	4						10002																										
1000203	10	1	1						10002																										
1000301	10	2	5			1800000			10003																										
1000302	10	1	4						10003																										
1000303	10	1	1						10003																										
1000401	10	2	5			1800000			10004																										
1000402	10	1	4						10004																										
1000403	10	1	1						10004																										
1000501	10	2	5			1800000			10005																										
1000502	10	1	4						10005																										
1000503	10	1	1						10005																										
1000601	10	2	5			1800000			10006																										
1000602	10	1	4						10006																										
1000603	10	1	1						10006																										
1000701	10	2	5			1800000			10007																										
1000702	10	1	4						10007																										
1000703	10	1	1						10007																										
1000801	10	2	5			1800000			10008																										
1000802	10	1	4						10008																										
1000803	10	1	1						10008																										
1000901	10	2	5			1800000			10009																										
1000902	10	1	4						10009																										
1000903	10	1	1						10009																										
1001001	10	2	5			1800000			10010																										
1001002	10	1	4						10010																										
1001003	10	1	1						10010																										
1100101	11	2	5			1800000			11001																										
1100102	11	1	4						11001																										
1100103	11	1	1						11001																										
1100201	11	2	5			1800000			11002																										
1100202	11	1	4						11002																										
1100203	11	1	1						11002																										
1100301	11	2	5			1800000			11003																										
1100302	11	1	4						11003																										
1100303	11	1	1						11003																										
1100401	11	2	5			1800000			11004																										
1100402	11	1	4						11004																										
1100403	11	1	1						11004																										
1100501	11	2	5			1800000			11005																										
1100502	11	1	4						11005																										
1100503	11	1	1						11005																										
1100601	11	2	5			1800000			11006																										
1100602	11	1	4						11006																										
1100603	11	1	1						11006																										
1100701	11	2	5			1800000			11007																										
1100702	11	1	4						11007																										
1100703	11	1	1						11007																										
1100801	11	2	5			1800000			11008																										
1100802	11	1	4						11008																										
1100803	11	1	1						11008																										
1100901	11	2	5			1800000			11009																										
1100902	11	1	4						11009																										
1100903	11	1	1						11009																										
1101001	11	2	5			1800000			11010																										
1101002	11	1	4						11010																										
1101003	11	1	1						11010																										
1200101	12	2	5			1800000			12001																										
1200102	12	1	4						12001																										
1200103	12	1	1						12001																										
1200201	12	2	5			1800000			12002																										
1200202	12	1	4						12002																										
1200203	12	1	1						12002																										
1200301	12	2	5			1800000			12003																										
1200302	12	1	4						12003																										
1200303	12	1	1						12003																										
1200401	12	2	5			1800000			12004																										
1200402	12	1	4						12004																										
1200403	12	1	1						12004																										
1200501	12	2	5			1800000			12005																										
1200502	12	1	4						12005																										
1200503	12	1	1						12005																										
1200601	12	2	5			1800000			12006																										
1200602	12	1	4						12006																										
1200603	12	1	1						12006																										
1200701	12	2	5			1800000			12007																										
1200702	12	1	4						12007																										
1200703	12	1	1						12007																										
1200801	12	2	5			1800000			12008																										
1200802	12	1	4						12008																										
1200803	12	1	1						12008																										
1200901	12	2	5			1800000			12009																										
1200902	12	1	4						12009																										
1200903	12	1	1						12009																										
1201001	12	2	5			1800000			12010																										
1201002	12	1	4						12010																										
1201003	12	1	1						12010																										
1300101	13	2	5			1800000			13001																										
1300102	13	1	4						13001																										
1300103	13	1	1						13001																										
1300201	13	2	5			1800000			13002																										
1300202	13	1	4						13002																										
1300203	13	1	1						13002																										
1300301	13	2	5			1800000			13003																										
1300302	13	1	4						13003																										
1300303	13	1	1						13003																										
1300401	13	2	5			1800000			13004																										
1300402	13	1	4						13004																										
1300403	13	1	1						13004																										
1300501	13	2	5			1800000			13005																										
1300502	13	1	4						13005																										
1300503	13	1	1						13005																										
1300601	13	2	5			1800000			13006																										
1300602	13	1	4						13006																										
1300603	13	1	1						13006																										
1300701	13	2	5			1800000			13007																										
1300702	13	1	4						13007																										
1300703	13	1	1						13007																										
1300801	13	2	5			1800000			13008																										
1300802	13	1	4						13008																										
1300803	13	1	1						13008																										
1300901	13	2	5			1800000			13009																										
1300902	13	1	4						13009																										
1300903	13	1	1						13009																										
1301001	13	2	5			1800000			13010																										
1301002	13	1	4						13010																										
1301003	13	1	1						13010																										
1400101	14	2	5			1800000			14001																										
1400102	14	1	4						14001																										
1400103	14	1	1						14001																										
1400201	14	2	5			1800000			14002																										
1400202	14	1	4						14002																										
1400203	14	1	1						14002																										
1400301	14	2	5			1800000			14003																										
1400302	14	1	4						14003																										
1400303	14	1	1						14003																										
1400401	14	2	5			1800000			14004																										
1400402	14	1	4						14004																										
1400403	14	1	1						14004																										
1400501	14	2	5			1800000			14005																										
1400502	14	1	4						14005																										
1400503	14	1	1						14005																										
1400601	14	2	5			1800000			14006																										
1400602	14	1	4						14006																										
1400603	14	1	1						14006																										
1400701	14	2	5			1800000			14007																										
1400702	14	1	4						14007																										
1400703	14	1	1						14007																										
1400801	14	2	5			1800000			14008																										
1400802	14	1	4						14008																										
1400803	14	1	1						14008																										
1400901	14	2	5			1800000			14009																										
1400902	14	1	4						14009																										
1400903	14	1	1						14009																										
1401001	14	2	5			1800000			14010																										
1401002	14	1	4						14010																										
1401003	14	1	1						14010																										
1500101	15	2	5			1800000			15001																										
1500102	15	1	4						15001																										
1500103	15	1	1						15001																										
1500201	15	2	5			1800000			15002																										
1500202	15	1	4						15002																										
1500203	15	1	1						15002																										
1500301	15	2	5			1800000			15003																										
1500302	15	1	4						15003																										
1500303	15	1	1						15003																										
1500401	15	2	5			1800000			15004																										
1500402	15	1	4						15004																										
1500403	15	1	1						15004																										
1500501	15	2	5			1800000			15005																										
1500502	15	1	4						15005																										
1500503	15	1	1						15005																										
1500601	15	2	5			1800000			15006																										
1500602	15	1	4						15006																										
1500603	15	1	1						15006																										
1500701	15	2	5			1800000			15007																										
1500702	15	1	4						15007																										
1500703	15	1	1						15007																										
1500801	15	2	5			1800000			15008																										
1500802	15	1	4						15008																										
1500803	15	1	1						15008																										
1500901	15	2	5			1800000			15009																										
1500902	15	1	4						15009																										
1500903	15	1	1						15009																										
1501001	15	2	5			1800000			15010																										
1501002	15	1	4						15010																										
1501003	15	1	1						15010																										
99999		1	5						99999	2000	2000							2	60010001	1	0	1000000	1	2	60010001	1	0	500000	5						
