id	NAME	代号	最小等级	最大等级	type	icon	res	属性	战力倍数	分解价格	分解道具数量	重铸道具数量	最大属性条数	强化上限	获得途径	声望
10907	骑士腰带	t_equip_name_10907	80	89	7	10907	unit_1_09	1	2	2000	1	5	3	10	2|3|9|12	50
10908	骑士战靴	t_equip_name_10908	80	89	8	10908	unit_1_09	1	2	2000	1	5	3	10	2|3|9|12	50
11001	幕落	t_equip_name_11001	90	99	1	11001	unit_1_10	2	2	2200	1	5	3	10	2|3|9|12	50
11002	天穹盾牌	t_equip_name_11002	90	99	2	11002	unit_1_10	2	2	2200	1	5	3	10	2|3|9|12	50
11003	苍穹头盔	t_equip_name_11003	90	99	3	11003	unit_1_10	3	2	2200	1	5	3	10	2|3|9|12	50
11004	苍穹肩甲	t_equip_name_11004	90	99	4	11004	unit_1_10	3	2	2200	1	5	3	10	2|3|9|12	50
11005	苍穹手套	t_equip_name_11005	90	99	5	11005	unit_1_10	4	2	2200	1	5	3	10	2|3|9|12	50
11006	苍穹铠甲	t_equip_name_11006	90	99	6	11006	unit_1_10	4	2	2200	1	5	3	10	2|3|9|12	50
11007	苍穹腰带	t_equip_name_11007	90	99	7	11007	unit_1_10	1	2	2200	1	5	3	10	2|3|9|12	50
11008	苍穹战靴	t_equip_name_11008	90	99	8	11008	unit_1_10	1	2	2200	1	5	3	10	2|3|9|12	50
11101	炼狱	t_equip_name_11101	100	109	1	11101	unit_1_13	2	2	2400	1	6	3	10	2|3|9|12	50
11102	虚无盾牌	t_equip_name_11102	100	109	2	11102	unit_1_13	2	2	2400	1	6	3	10	2|3|9|12	50
11103	恶魔面具	t_equip_name_11103	100	109	3	11103	unit_1_13	3	2	2400	1	6	3	10	2|3|9|12	50
11104	恶魔护肩	t_equip_name_11104	100	109	4	11104	unit_1_13	3	2	2400	1	6	3	10	2|3|9|12	50
11105	恶魔手套	t_equip_name_11105	100	109	5	11105	unit_1_13	4	2	2400	1	6	3	10	2|3|9|12	50
11106	恶魔甲胄	t_equip_name_11106	100	109	6	11106	unit_1_13	4	2	2400	1	6	3	10	2|3|9|12	50
11107	恶魔腰带	t_equip_name_11107	100	109	7	11107	unit_1_13	1	2	2400	1	6	3	10	2|3|9|12	50
11108	恶魔战靴	t_equip_name_11108	100	109	8	11108	unit_1_13	1	2	2400	1	6	3	10	2|3|9|12	50
11201	怒鲨	t_equip_name_11201	110	119	1	11201	unit_1_12	2	2	2800	1	6	3	10	2|3|9|12	50
11202	海神盾牌	t_equip_name_11202	110	119	2	11202	unit_1_12	2	2	2800	1	6	3	10	2|3|9|12	50
11203	波塞冬头环	t_equip_name_11203	110	119	3	11203	unit_1_12	3	2	2800	1	6	3	10	2|3|9|12	50
11204	波塞冬肩甲	t_equip_name_11204	110	119	4	11204	unit_1_12	3	2	2800	1	6	3	10	2|3|9|12	50
11205	波塞冬手套	t_equip_name_11205	110	119	5	11205	unit_1_12	4	2	2800	1	6	3	10	2|3|9|12	50
11206	波塞冬铠甲	t_equip_name_11206	110	119	6	11206	unit_1_12	4	2	2800	1	6	3	10	2|3|9|12	50
11207	波塞冬腰带	t_equip_name_11207	110	119	7	11207	unit_1_12	1	2	2800	1	6	3	10	2|3|9|12	50
11208	波塞冬战靴	t_equip_name_11208	110	119	8	11208	unit_1_12	1	2	2800	1	6	3	10	2|3|9|12	50
11301	龙约	t_equip_name_11301	120	129	1	11301	unit_1_14	2	2	3000	1	7	3	10	2|3|9|12	50
11302	天龙盾牌	t_equip_name_11302	120	129	2	11302	unit_1_14	2	2	3000	1	7	3	10	2|3|9|12	50
11303	龙鸣头盔	t_equip_name_11303	120	129	3	11303	unit_1_14	3	2	3000	1	7	3	10	2|3|9|12	50
11304	龙鸣肩甲	t_equip_name_11304	120	129	4	11304	unit_1_14	3	2	3000	1	7	3	10	2|3|9|12	50
11305	龙鸣手套	t_equip_name_11305	120	129	5	11305	unit_1_14	4	2	3000	1	7	3	10	2|3|9|12	50
11306	龙鸣战铠	t_equip_name_11306	120	129	6	11306	unit_1_14	4	2	3000	1	7	3	10	2|3|9|12	50
11307	龙鸣腰带	t_equip_name_11307	120	129	7	11307	unit_1_14	1	2	3000	1	7	3	10	2|3|9|12	50
11308	龙鸣铠靴	t_equip_name_11308	120	129	8	11308	unit_1_14	1	2	3000	1	7	3	10	2|3|9|12	50
11401	破灭	t_equip_name_11401	130	139	1	11401	unit_1_15	2	2	3200	1	7	3	10	2|3|9|12	50
11402	命运盾牌	t_equip_name_11402	130	139	2	11402	unit_1_15	2	2	3200	1	7	3	10	2|3|9|12	50
11403	永生头盔	t_equip_name_11403	130	139	3	11403	unit_1_15	3	2	3200	1	7	3	10	2|3|9|12	50
11404	永生护肩	t_equip_name_11404	130	139	4	11404	unit_1_15	3	2	3200	1	7	3	10	2|3|9|12	50
11405	永生手套	t_equip_name_11405	130	139	5	11405	unit_1_15	4	2	3200	1	7	3	10	2|3|9|12	50
11406	永生铠甲	t_equip_name_11406	130	139	6	11406	unit_1_15	4	2	3200	1	7	3	10	2|3|9|12	50
11407	永生腰带	t_equip_name_11407	130	139	7	11407	unit_1_15	1	2	3200	1	7	3	10	2|3|9|12	50
11408	永生长靴	t_equip_name_11408	130	139	8	11408	unit_1_15	1	2	3200	1	7	3	10	2|3|9|12	50
11501	律法	t_equip_name_11501	140	149	1	11501	unit_1_11	2	2	3400	1	8	3	10	2|3|9|12	50
11502	真理盾牌	t_equip_name_11502	140	149	2	11502	unit_1_11	2	2	3400	1	8	3	10	2|3|9|12	50
11503	正义皇冠	t_equip_name_11503	140	149	3	11503	unit_1_11	3	2	3400	1	8	3	10	2|3|9|12	50
11504	正义护肩	t_equip_name_11504	140	149	4	11504	unit_1_11	3	2	3400	1	8	3	10	2|3|9|12	50
11505	正义手套	t_equip_name_11505	140	149	5	11505	unit_1_11	4	2	3400	1	8	3	10	2|3|9|12	50
11506	正义护甲	t_equip_name_11506	140	149	6	11506	unit_1_11	4	2	3400	1	8	3	10	2|3|9|12	50
11507	正义腰带	t_equip_name_11507	140	149	7	11507	unit_1_11	1	2	3400	1	8	3	10	2|3|9|12	50
11508	正义铠靴	t_equip_name_11508	140	149	8	11508	unit_1_11	1	2	3400	1	8	3	10	2|3|9|12	50
