id	角色id	等级	生命	攻击	防御	被动	技能等级	每轮技能间隔	技能顺序间隔	技能顺序	技能顺序	技能顺序间隔	技能顺序	技能顺序间隔	技能顺序	技能顺序间隔	技能顺序	技能顺序间隔	技能顺序	技能顺序间隔	技能顺序	技能顺序间隔	技能顺序	技能顺序间隔	技能顺序	技能顺序间隔	技能顺序	技能顺序间隔	技能顺序	技能顺序间隔
4007	4007	37	10	10	10		4	0	2500	1	3500	2017	4000	1	3500	2017	3000	1	2000	1	1000	1	6000	2017						
4008	4008	38	10	10	10		4	0	2000	1	4000	2018	4000	1	1000	1	1000	1	6000	2018	1500	1	5500	2018						
4009	4009	39	10	10	10		4	0	3000	2019	4000	1	5000	1	2000	2019	3000	1	4000	2019	1000	1	2000	2019						
4010	4010	40	10	10	10		4	0	1000	1	2000	1	3000	1	4000	1	5000	2020	4000	2020	3000	1	2000	2010						
5001	5001	41	10	10	10		5	0	3000	1	3000	2001	3000	1	3000	1	2000	2001	4000	2001										
5002	5002	42	10	10	10		5	0	2000	1	2000	2002	2000	1	2000	1	2000	2002	3000	1										
5003	5003	43	10	10	10		5	0	4000	1	2000	2003	4500	1	3500	1	3000	2003	3000	2003										
5004	5004	44	10	10	10		5	0	1500	1	1500	1	1500	1	3000	2004	4500	1	6000	2004										
5005	5005	45	10	10	10		5	0	1500	1	1500	2005	2500	1	2500	1	3500	1	3500	1	4500	2005	4500	1						
5006	5006	46	10	10	10		5	0	4000	1	4000	2003	4000	1	1500	2003	3000	1	1500	2003										
5007	5007	47	10	10	10		5	0	4000	2007	2000	1	5000	2007	1000	1	3000	1	4500	2007	1500	2007	3000	1						
5008	5008	48	10	10	10		5	0	1000	1	4000	2008	1000	1	1000	1	1000	1	1500	1	2500	1	8000	2008						
5009	5009	49	10	10	10		5	0	1500	1	1500	1	1500	2009	2000	1	1500	2009	2000	2009	3000	1	8000	2009						
5010	5010	50	10	10	10		5	0	4000	1	2000	2010	4000	1	4000	1	6000	1	1000	1	1000	2010	1500	2010						
6001	6001	51	10	10	10		6	0	3000	1	4000	1	4000	2011	2000	1	2000	1	3000	2011	4000	2011	2000	1						
6002	6002	52	10	10	10		6	0	2000	1	2000	1	2000	1	6000	2012	2500	1	2500	1	2500	1	4500	2012						
6003	6003	53	10	10	10		6	0	1000	1	3000	1	4000	1	1500	2013	4000	1	2500	2013	4000	1	4000	2013						
6004	6004	54	10	10	10		6	0	4000	1	5000	1	6000	1	2000	2014	3000	1	1000	2014	2000	1	1000	2014						
6005	6005	55	10	10	10		6	0	4000	1	3000	2015	3000	1	3000	2015	2000	1	2000	1	2000	1	5000	2015						
6006	6006	56	10	10	10		6	0	2000	1	4000	2016	2000	1	2000	1	2000	1	2000	1	7000	2016	3000	2016						
6007	6007	57	10	10	10		6	0	2500	1	3500	2017	4000	1	3500	2017	3000	1	2000	1	1000	1	6000	2017						
6008	6008	58	10	10	10		6	0	2000	1	4000	2018	4000	1	1000	1	1000	1	6000	2018	1500	1	5500	2018						
6009	6009	59	10	10	10		6	0	3000	2019	4000	1	5000	1	2000	2019	3000	1	4000	2019	1000	1	2000	2019						
6010	6010	60	10	10	10		6	0	1000	1	2000	1	3000	1	4000	1	5000	2020	4000	2020	3000	1	2000	2010						
7001	7001	61	10	10	10		7	0	3000	1	3000	2001	3000	1	3000	1	2000	2001	4000	2001										
7002	7002	62	10	10	10		7	0	2000	1	2000	2002	2000	1	2000	1	2000	2002	3000	1										
7003	7003	63	10	10	10		7	0	4000	1	2000	2003	4500	1	3500	1	3000	2003	3000	2003										
7004	7004	64	10	10	10		7	0	1500	1	1500	1	1500	1	3000	2004	4500	1	6000	2004										
7005	7005	65	10	10	10		7	0	1500	1	1500	2005	2500	1	2500	1	3500	1	3500	1	4500	2005	4500	1						
7006	7006	66	10	10	10		7	0	4000	1	4000	2003	4000	1	1500	2003	3000	1	1500	2003										
7007	7007	67	10	10	10		7	0	4000	2007	2000	1	5000	2007	1000	1	3000	1	4500	2007	1500	2007	3000	1						
7008	7008	68	10	10	10		7	0	1000	1	4000	2008	1000	1	1000	1	1000	1	1500	1	2500	1	8000	2008						
7009	7009	69	10	10	10		7	0	1500	1	1500	1	1500	2009	2000	1	1500	2009	2000	2009	3000	1	8000	2009						
7010	7010	70	10	10	10		7	0	4000	1	2000	2010	4000	1	4000	1	6000	1	1000	1	1000	2010	1500	2010						
8001	8001	71	10	10	10		8	0	3000	1	4000	1	4000	2011	2000	1	2000	1	3000	2011	4000	2011	2000	1						
8002	8002	72	10	10	10		8	0	2000	1	2000	1	2000	1	6000	2012	2500	1	2500	1	2500	1	4500	2012						
8003	8003	73	10	10	10		8	0	1000	1	3000	1	4000	1	1500	2013	4000	1	2500	2013	4000	1	4000	2013						
8004	8004	74	10	10	10		8	0	4000	1	5000	1	6000	1	2000	2014	3000	1	1000	2014	2000	1	1000	2014						
8005	8005	75	10	10	10		8	0	4000	1	3000	2015	3000	1	3000	2015	2000	1	2000	1	2000	1	5000	2015						
8006	8006	76	10	10	10		8	0	2000	1	4000	2016	2000	1	2000	1	2000	1	2000	1	7000	2016	3000	2016						
8007	8007	77	10	10	10		8	0	2500	1	3500	2017	4000	1	3500	2017	3000	1	2000	1	1000	1	6000	2017						
8008	8008	78	10	10	10		8	0	2000	1	4000	2018	4000	1	1000	1	1000	1	6000	2018	1500	1	5500	2018						
8009	8009	79	10	10	10		8	0	3000	2019	4000	1	5000	1	2000	2019	3000	1	4000	2019	1000	1	2000	2019						
8010	8010	80	10	10	10		8	0	1000	1	2000	1	3000	1	4000	1	5000	2020	4000	2020	3000	1	2000	2010						
9001	9001	81	10	10	10		9	0	3000	1	3000	2001	3000	1	3000	1	2000	2001	4000	2001										
9002	9002	82	10	10	10		9	0	2000	1	2000	2002	2000	1	2000	1	2000	2002	3000	1										
9003	9003	83	10	10	10		9	0	4000	1	2000	2003	4500	1	3500	1	3000	2003	3000	2003										
9004	9004	84	10	10	10		9	0	1500	1	1500	1	1500	1	3000	2004	4500	1	6000	2004										
9005	9005	85	10	10	10		9	0	1500	1	1500	2005	2500	1	2500	1	3500	1	3500	1	4500	2005	4500	1						
9006	9006	86	10	10	10		9	0	4000	1	4000	2003	4000	1	1500	2003	3000	1	1500	2003										
9007	9007	87	10	10	10		9	0	4000	2007	2000	1	5000	2007	1000	1	3000	1	4500	2007	1500	2007	3000	1						
9008	9008	88	10	10	10		9	0	1000	1	4000	2008	1000	1	1000	1	1000	1	1500	1	2500	1	8000	2008						
9009	9009	89	10	10	10		9	0	1500	1	1500	1	1500	2009	2000	1	1500	2009	2000	2009	3000	1	8000	2009						
9010	9010	90	10	10	10		9	0	4000	1	2000	2010	4000	1	4000	1	6000	1	1000	1	1000	2010	1500	2010						
10001	10001	91	10	10	10		10	0	3000	1	4000	1	4000	2011	2000	1	2000	1	3000	2011	4000	2011	2000	1						
10002	10002	92	10	10	10		10	0	2000	1	2000	1	2000	1	6000	2012	2500	1	2500	1	2500	1	4500	2012						
10003	10003	93	10	10	10		10	0	1000	1	3000	1	4000	1	1500	2013	4000	1	2500	2013	4000	1	4000	2013						
10004	10004	94	10	10	10		10	0	4000	1	5000	1	6000	1	2000	2014	3000	1	1000	2014	2000	1	1000	2014						
10005	10005	95	10	10	10		10	0	4000	1	3000	2015	3000	1	3000	2015	2000	1	2000	1	2000	1	5000	2015						
10006	10006	96	10	10	10		10	0	2000	1	4000	2016	2000	1	2000	1	2000	1	2000	1	7000	2016	3000	2016						
10007	10007	97	10	10	10		10	0	2500	1	3500	2017	4000	1	3500	2017	3000	1	2000	1	1000	1	6000	2017						
10008	10008	98	10	10	10		10	0	2000	1	4000	2018	4000	1	1000	1	1000	1	6000	2018	1500	1	5500	2018						
10009	10009	99	10	10	10		10	0	3000	2019	4000	1	5000	1	2000	2019	3000	1	4000	2019	1000	1	2000	2019						
10010	10010	100	10	10	10		10	0	1000	1	2000	1	3000	1	4000	1	5000	2020	4000	2020	3000	1	2000	2010						
11001	11001	101	10	10	10		11	0	3000	1	3000	2001	3000	1	3000	1	2000	2001	4000	2001										
11002	11002	102	10	10	10		11	0	2000	1	2000	2002	2000	1	2000	1	2000	2002	3000	1										
11003	11003	103	10	10	10		11	0	4000	1	2000	2003	4500	1	3500	1	3000	2003	3000	2003										
11004	11004	104	10	10	10		11	0	1500	1	1500	1	1500	1	3000	2004	4500	1	6000	2004										
11005	11005	105	10	10	10		11	0	1500	1	1500	2005	2500	1	2500	1	3500	1	3500	1	4500	2005	4500	1						
11006	11006	106	10	10	10		11	0	4000	1	4000	2003	4000	1	1500	2003	3000	1	1500	2003										
11007	11007	107	10	10	10		11	0	4000	2007	2000	1	5000	2007	1000	1	3000	1	4500	2007	1500	2007	3000	1						
11008	11008	108	10	10	10		11	0	1000	1	4000	2008	1000	1	1000	1	1000	1	1500	1	2500	1	8000	2008						
11009	11009	109	10	10	10		11	0	1500	1	1500	1	1500	2009	2000	1	1500	2009	2000	2009	3000	1	8000	2009						
11010	11010	110	10	10	10		11	0	4000	1	2000	2010	4000	1	4000	1	6000	1	1000	1	1000	2010	1500	2010						
12001	12001	111	10	10	10		12	0	3000	1	4000	1	4000	2011	2000	1	2000	1	3000	2011	4000	2011	2000	1						
12002	12002	112	10	10	10		12	0	2000	1	2000	1	2000	1	6000	2012	2500	1	2500	1	2500	1	4500	2012						
12003	12003	113	10	10	10		12	0	1000	1	3000	1	4000	1	1500	2013	4000	1	2500	2013	4000	1	4000	2013						
12004	12004	114	10	10	10		12	0	4000	1	5000	1	6000	1	2000	2014	3000	1	1000	2014	2000	1	1000	2014						
12005	12005	115	10	10	10		12	0	4000	1	3000	2015	3000	1	3000	2015	2000	1	2000	1	2000	1	5000	2015						
12006	12006	116	10	10	10		12	0	2000	1	4000	2016	2000	1	2000	1	2000	1	2000	1	7000	2016	3000	2016						
12007	12007	117	10	10	10		12	0	2500	1	3500	2017	4000	1	3500	2017	3000	1	2000	1	1000	1	6000	2017						
12008	12008	118	10	10	10		12	0	2000	1	4000	2018	4000	1	1000	1	1000	1	6000	2018	1500	1	5500	2018						
12009	12009	119	10	10	10		12	0	3000	2019	4000	1	5000	1	2000	2019	3000	1	4000	2019	1000	1	2000	2019						
12010	12010	120	10	10	10		12	0	1000	1	2000	1	3000	1	4000	1	5000	2020	4000	2020	3000	1	2000	2010						
13001	13001	121	10	10	10		13	0	3000	1	3000	2001	3000	1	3000	1	2000	2001	4000	2001										
13002	13002	122	10	10	10		13	0	2000	1	2000	2002	2000	1	2000	1	2000	2002	3000	1										
13003	13003	123	10	10	10		13	0	4000	1	2000	2003	4500	1	3500	1	3000	2003	3000	2003										
13004	13004	124	10	10	10		13	0	1500	1	1500	1	1500	1	3000	2004	4500	1	6000	2004										
13005	13005	125	10	10	10		13	0	1500	1	1500	2005	2500	1	2500	1	3500	1	3500	1	4500	2005	4500	1						
13006	13006	126	10	10	10		13	0	4000	1	4000	2003	4000	1	1500	2003	3000	1	1500	2003										
13007	13007	127	10	10	10		13	0	4000	2007	2000	1	5000	2007	1000	1	3000	1	4500	2007	1500	2007	3000	1						
13008	13008	128	10	10	10		13	0	1000	1	4000	2008	1000	1	1000	1	1000	1	1500	1	2500	1	8000	2008						
13009	13009	129	10	10	10		13	0	1500	1	1500	1	1500	2009	2000	1	1500	2009	2000	2009	3000	1	8000	2009						
13010	13010	130	10	10	10		13	0	4000	1	2000	2010	4000	1	4000	1	6000	1	1000	1	1000	2010	1500	2010						
14001	14001	131	10	10	10		14	0	3000	1	4000	1	4000	2011	2000	1	2000	1	3000	2011	4000	2011	2000	1						
14002	14002	132	10	10	10		14	0	2000	1	2000	1	2000	1	6000	2012	2500	1	2500	1	2500	1	4500	2012						
14003	14003	133	10	10	10		14	0	1000	1	3000	1	4000	1	1500	2013	4000	1	2500	2013	4000	1	4000	2013						
14004	14004	134	10	10	10		14	0	4000	1	5000	1	6000	1	2000	2014	3000	1	1000	2014	2000	1	1000	2014						
14005	14005	135	10	10	10		14	0	4000	1	3000	2015	3000	1	3000	2015	2000	1	2000	1	2000	1	5000	2015						
14006	14006	136	10	10	10		14	0	2000	1	4000	2016	2000	1	2000	1	2000	1	2000	1	7000	2016	3000	2016						
14007	14007	137	10	10	10		14	0	2500	1	3500	2017	4000	1	3500	2017	3000	1	2000	1	1000	1	6000	2017						
14008	14008	138	10	10	10		14	0	2000	1	4000	2018	4000	1	1000	1	1000	1	6000	2018	1500	1	5500	2018						
14009	14009	139	10	10	10		14	0	3000	2019	4000	1	5000	1	2000	2019	3000	1	4000	2019	1000	1	2000	2019						
14010	14010	140	10	10	10		14	0	1000	1	2000	1	3000	1	4000	1	5000	2020	4000	2020	3000	1	2000	2010						
15001	15001	141	10	10	10		15	0	3000	1	4000	1	4000	2011	2000	1	2000	1	3000	2011	4000	2011	2000	1						
15002	15002	142	10	10	10		15	0	2000	1	2000	1	2000	1	6000	2012	2500	1	2500	1	2500	1	4500	2012						
15003	15003	143	10	10	10		15	0	1000	1	3000	1	4000	1	1500	2013	4000	1	2500	2013	4000	1	4000	2013						
15004	15004	144	10	10	10		15	0	4000	1	5000	1	6000	1	2000	2014	3000	1	1000	2014	2000	1	1000	2014						
15005	15005	145	10	10	10		15	0	4000	1	3000	2015	3000	1	3000	2015	2000	1	2000	1	2000	1	5000	2015						
15006	15006	146	10	10	10		15	0	2000	1	4000	2016	2000	1	2000	1	2000	1	2000	1	7000	2016	3000	2016						
15007	15007	147	10	10	10		15	0	2500	1	3500	2017	4000	1	3500	2017	3000	1	2000	1	1000	1	6000	2017						
15008	15008	148	10	10	10		15	0	2000	1	4000	2018	4000	1	1000	1	1000	1	6000	2018	1500	1	5500	2018						
15009	15009	149	10	10	10		15	0	3000	2019	4000	1	5000	1	2000	2019	3000	1	4000	2019	1000	1	2000	2019						
15010	15010	150	10	10	10		15	0	1000	1	2000	1	3000	1	4000	1	5000	2020	4000	2020	3000	1	2000	2010						
99999	99999	-1	30	0	0			0	3000	1	3000																			
101001	101001	10	50	11	11		1	0	3000	1	3000	1002																		
101002	101002	10	50	11	11		1	0	3000	1	3000	1002																		
101003	101003	10	50	11	11		1	0	3000	1	3000	1002																		
101004	101004	10	50	11	11		1	0	3000	1	3000	1002																		
101005	101005	10	50	11	11		1	0	3000	1	3000	1002																		
101006	101006	10	50	11	11		1	0	3000	1	3000	1002																		
101007	101007	10	50	11	11		1	0	3000	1	3000	1002																		
101008	101008	10	50	11	11		1	0	3000	1	3000	1002																		
101009	101009	10	50	11	11		1	0	3000	1	3000	1002																		
101010	101010	10	50	11	11		1	0	3000	1	3000	1002																		
102001	102001	20	50	11	11		2	0	3000	1	3000	1002																		
102002	102002	20	50	11	11		2	0	3000	1	3000	1002																		
102003	102003	20	50	11	11		2	0	3000	1	3000	1002																		
102004	102004	20	50	11	11		2	0	3000	1	3000	1002																		
102005	102005	20	50	11	11		2	0	3000	1	3000	1002																		
102006	102006	20	50	11	11		2	0	3000	1	3000	1002																		
102007	102007	20	50	11	11		2	0	3000	1	3000	1002																		
102008	102008	20	50	11	11		2	0	3000	1	3000	1002																		
102009	102009	20	50	11	11		2	0	3000	1	3000	1002																		
102010	102010	20	50	11	11		2	0	3000	1	3000	1002																		
103001	103001	30	50	11	11		3	0	3000	1	3000	1002																		
103002	103002	30	50	11	11		3	0	3000	1	3000	1002																		
103003	103003	30	50	11	11		3	0	3000	1	3000	1002																		
103004	103004	30	50	11	11		3	0	3000	1	3000	1002																		
103005	103005	30	50	11	11		3	0	3000	1	3000	1002																		
103006	103006	30	50	11	11		3	0	3000	1	3000	1002																		
103007	103007	30	50	11	11		3	0	3000	1	3000	1002																		
103008	103008	30	50	11	11		3	0	3000	1	3000	1002																		
103009	103009	30	50	11	11		3	0	3000	1	3000	1002																		
103010	103010	30	50	11	11		3	0	3000	1	3000	1002																		
104001	104001	40	50	11	11		4	0	3000	1	3000	1002																		
104002	104002	40	50	11	11		4	0	3000	1	3000	1002																		
104003	104003	40	50	11	11		4	0	3000	1	3000	1002																		
104004	104004	40	50	11	11		4	0	3000	1	3000	1002																		
104005	104005	40	50	11	11		4	0	3000	1	3000	1002																		
104006	104006	40	50	11	11		4	0	3000	1	3000	1002																		
104007	104007	40	50	11	11		4	0	3000	1	3000	1002																		
104008	104008	40	50	11	11		4	0	3000	1	3000	1002																		
104009	104009	40	50	11	11		4	0	3000	1	3000	1002																		
104010	104010	40	50	11	11		4	0	3000	1	3000	1002																		
105001	105001	50	50	11	11		5	0	3000	1	3000	1002																		
105002	105002	50	50	11	11		5	0	3000	1	3000	1002																		
105003	105003	50	50	11	11		5	0	3000	1	3000	1002																		
105004	105004	50	50	11	11		5	0	3000	1	3000	1002																		
105005	105005	50	50	11	11		5	0	3000	1	3000	1002																		
105006	105006	50	50	11	11		5	0	3000	1	3000	1002																		
105007	105007	50	50	11	11		5	0	3000	1	3000	1002																		
105008	105008	50	50	11	11		5	0	3000	1	3000	1002																		
105009	105009	50	50	11	11		5	0	3000	1	3000	1002																		
105010	105010	50	50	11	11		5	0	3000	1	3000	1002																		
106001	106001	60	50	11	11		6	0	3000	1	3000	1002																		
106002	106002	60	50	11	11		6	0	3000	1	3000	1002																		
106003	106003	60	50	11	11		6	0	3000	1	3000	1002																		
106004	106004	60	50	11	11		6	0	3000	1	3000	1002																		
106005	106005	60	50	11	11		6	0	3000	1	3000	1002																		
106006	106006	60	50	11	11		6	0	3000	1	3000	1002																		
106007	106007	60	50	11	11		6	0	3000	1	3000	1002																		
106008	106008	60	50	11	11		6	0	3000	1	3000	1002																		
106009	106009	60	50	11	11		6	0	3000	1	3000	1002																		
106010	106010	60	50	11	11		6	0	3000	1	3000	1002																		
107001	107001	70	50	11	11		7	0	3000	1	3000	1002																		
107002	107002	70	50	11	11		7	0	3000	1	3000	1002																		
107003	107003	70	50	11	11		7	0	3000	1	3000	1002																		
107004	107004	70	50	11	11		7	0	3000	1	3000	1002																		
107005	107005	70	50	11	11		7	0	3000	1	3000	1002																		
107006	107006	70	50	11	11		7	0	3000	1	3000	1002																		
107007	107007	70	50	11	11		7	0	3000	1	3000	1002																		
107008	107008	70	50	11	11		7	0	3000	1	3000	1002																		
107009	107009	70	50	11	11		7	0	3000	1	3000	1002																		
107010	107010	70	50	11	11		7	0	3000	1	3000	1002																		
108001	108001	80	50	11	11		8	0	3000	1	3000	1002																		
108002	108002	80	50	11	11		8	0	3000	1	3000	1002																		
108003	108003	80	50	11	11		8	0	3000	1	3000	1002																		
108004	108004	80	50	11	11		8	0	3000	1	3000	1002																		
108005	108005	80	50	11	11		8	0	3000	1	3000	1002																		
108006	108006	80	50	11	11		8	0	3000	1	3000	1002																		
108007	108007	80	50	11	11		8	0	3000	1	3000	1002																		
108008	108008	80	50	11	11		8	0	3000	1	3000	1002																		
108009	108009	80	50	11	11		8	0	3000	1	3000	1002																		
108010	108010	80	50	11	11		8	0	3000	1	3000	1002																		
109001	109001	90	50	11	11		9	0	3000	1	3000	1002																		
109002	109002	90	50	11	11		9	0	3000	1	3000	1002																		
109003	109003	90	50	11	11		9	0	3000	1	3000	1002																		
109004	109004	90	50	11	11		9	0	3000	1	3000	1002																		
109005	109005	90	50	11	11		9	0	3000	1	3000	1002																		
109006	109006	90	50	11	11		9	0	3000	1	3000	1002																		
109007	109007	90	50	11	11		9	0	3000	1	3000	1002																		
109008	109008	90	50	11	11		9	0	3000	1	3000	1002																		
109009	109009	90	50	11	11		9	0	3000	1	3000	1002																		
109010	109010	90	50	11	11		9	0	3000	1	3000	1002																		
110001	110001	100	50	11	11		10	0	3000	1	3000	1002																		
110002	110002	100	50	11	11		10	0	3000	1	3000	1002																		
110003	110003	100	50	11	11		10	0	3000	1	3000	1002																		
110004	110004	100	50	11	11		10	0	3000	1	3000	1002																		
110005	110005	100	50	11	11		10	0	3000	1	3000	1002																		
110006	110006	100	50	11	11		10	0	3000	1	3000	1002																		
110007	110007	100	50	11	11		10	0	3000	1	3000	1002																		
110008	110008	100	50	11	11		10	0	3000	1	3000	1002																		
110009	110009	100	50	11	11		10	0	3000	1	3000	1002																		
110010	110010	100	50	11	11		10	0	3000	1	3000	1002																		
111001	111001	110	50	11	11		11	0	3000	1	3000	1002																		
111002	111002	110	50	11	11		11	0	3000	1	3000	1002																		
111003	111003	110	50	11	11		11	0	3000	1	3000	1002																		
111004	111004	110	50	11	11		11	0	3000	1	3000	1002																		
111005	111005	110	50	11	11		11	0	3000	1	3000	1002																		
111006	111006	110	50	11	11		11	0	3000	1	3000	1002																		
111007	111007	110	50	11	11		11	0	3000	1	3000	1002																		
111008	111008	110	50	11	11		11	0	3000	1	3000	1002																		
111009	111009	110	50	11	11		11	0	3000	1	3000	1002																		
111010	111010	110	50	11	11		11	0	3000	1	3000	1002																		
112001	112001	120	50	11	11		12	0	3000	1	3000	1002																		
112002	112002	120	50	11	11		12	0	3000	1	3000	1002																		
112003	112003	120	50	11	11		12	0	3000	1	3000	1002																		
112004	112004	120	50	11	11		12	0	3000	1	3000	1002																		
112005	112005	120	50	11	11		12	0	3000	1	3000	1002																		
112006	112006	120	50	11	11		12	0	3000	1	3000	1002																		
112007	112007	120	50	11	11		12	0	3000	1	3000	1002																		
112008	112008	120	50	11	11		12	0	3000	1	3000	1002																		
112009	112009	120	50	11	11		12	0	3000	1	3000	1002																		
112010	112010	120	50	11	11		12	0	3000	1	3000	1002																		
113001	113001	130	50	11	11		13	0	3000	1	3000	1002																		
113002	113002	130	50	11	11		13	0	3000	1	3000	1002																		
113003	113003	130	50	11	11		13	0	3000	1	3000	1002																		
113004	113004	130	50	11	11		13	0	3000	1	3000	1002																		
113005	113005	130	50	11	11		13	0	3000	1	3000	1002																		
113006	113006	130	50	11	11		13	0	3000	1	3000	1002																		
113007	113007	130	50	11	11		13	0	3000	1	3000	1002																		
113008	113008	130	50	11	11		13	0	3000	1	3000	1002																		
113009	113009	130	50	11	11		13	0	3000	1	3000	1002																		
113010	113010	130	50	11	11		13	0	3000	1	3000	1002																		
114001	114001	140	50	11	11		14	0	3000	1	3000	1002																		
114002	114002	140	50	11	11		14	0	3000	1	3000	1002																		
114003	114003	140	50	11	11		14	0	3000	1	3000	1002																		
114004	114004	140	50	11	11		14	0	3000	1	3000	1002																		
114005	114005	140	50	11	11		14	0	3000	1	3000	1002																		
114006	114006	140	50	11	11		14	0	3000	1	3000	1002																		
