等级	经验	宠物好感	标准经验	标准金币	单位标准战力	百分比类标准	技能类标准
139	62502600	2772	2854	27	2095	140	5
140	63096000	2767	2868	27	2158	140	5
141	79510200	2887	3442	27	2222	150	5
142	80248800	2881	3459	27	2311	150	5
143	80990800	2876	3476	27	2400	150	5
144	81759600	2871	3494	27	2489	150	5
145	82508500	2865	3511	27	2577	150	5
146	83284400	2860	3529	27	2666	150	5
147	84040200	2855	3546	27	2755	150	5
148	84823200	2850	3564	27	2844	150	5
149	85609800	2845	3582	27	2933	150	5
150	86400000	2840	3600	27	3022	150	5
