层数	怪	type1	value1	value2	value3	prob	type2	value1	value2	value3	prob	type3	value1	value2	value3	prob	首次type1	value1	value2	value3	prob	首次type1	value1	value2	value3	prob	首次type2	value1	value2	value3	prob	type3	value1	value2	value3	prob
114	1104	1	1	1	0	100	1	1	1	0	80																									
115	1105	1	1	1	0	100	1	1	1	0	80																									
116	1106	1	1	1	0	100	1	1	1	0	80																									
117	1107	1	1	1	0	100	1	1	1	0	80																									
118	1108	1	1	1	0	100	1	1	1	0	80																									
119	1109	1	1	1	0	100	1	1	1	0	80																									
120	1110	1	1	1	0	100	1	1	1	0	80																									
121	1001	1	1	1	0	100	1	1	1	0	80																									
122	1002	1	1	1	0	100	1	1	1	0	80																									
123	1003	1	1	1	0	100	1	1	1	0	80																									
124	1004	1	1	1	0	100	1	1	1	0	80																									
125	1005	1	1	1	0	100	1	1	1	0	80																									
126	1006	1	1	1	0	100	1	1	1	0	80																									
127	1007	1	1	1	0	100	1	1	1	0	80																									
128	1008	1	1	1	0	100	1	1	1	0	80																									
129	1009	1	1	1	0	100	1	1	1	0	80																									
130	1010	1	1	1	0	100	1	1	1	0	80																									
131	1101	1	1	1	0	100	1	1	1	0	80																									
132	1102	1	1	1	0	100	1	1	1	0	80																									
133	1103	1	1	1	0	100	1	1	1	0	80																									
134	1104	1	1	1	0	100	1	1	1	0	80																									
135	1105	1	1	1	0	100	1	1	1	0	80																									
136	1106	1	1	1	0	100	1	1	1	0	80																									
137	1107	1	1	1	0	100	1	1	1	0	80																									
138	1108	1	1	1	0	100	1	1	1	0	80																									
139	1109	1	1	1	0	100	1	1	1	0	80																									
140	1110	1	1	1	0	100	1	1	1	0	80																									
141	1001	1	1	1	0	100	1	1	1	0	80																									
142	1002	1	1	1	0	100	1	1	1	0	80																									
143	1003	1	1	1	0	100	1	1	1	0	80																									
144	1004	1	1	1	0	100	1	1	1	0	80																									
145	1005	1	1	1	0	100	1	1	1	0	80																									
146	1006	1	1	1	0	100	1	1	1	0	80																									
147	1007	1	1	1	0	100	1	1	1	0	80																									
148	1008	1	1	1	0	100	1	1	1	0	80																									
149	1009	1	1	1	0	100	1	1	1	0	80																									
150	1010	1	1	1	0	100	1	1	1	0	80																									
151	1101	1	1	1	0	100	1	1	1	0	80																									
152	1102	1	1	1	0	100	1	1	1	0	80																									
153	1103	1	1	1	0	100	1	1	1	0	80																									
154	1104	1	1	1	0	100	1	1	1	0	80																									
155	1105	1	1	1	0	100	1	1	1	0	80																									
156	1106	1	1	1	0	100	1	1	1	0	80																									
157	1107	1	1	1	0	100	1	1	1	0	80																									
158	1108	1	1	1	0	100	1	1	1	0	80																									
159	1109	1	1	1	0	100	1	1	1	0	80																									
160	1110	1	1	1	0	100	1	1	1	0	80																									
161	1001	1	1	1	0	100	1	1	1	0	80																									
162	1002	1	1	1	0	100	1	1	1	0	80																									
163	1003	1	1	1	0	100	1	1	1	0	80																									
164	1004	1	1	1	0	100	1	1	1	0	80																									
165	1005	1	1	1	0	100	1	1	1	0	80																									
166	1006	1	1	1	0	100	1	1	1	0	80																									
167	1007	1	1	1	0	100	1	1	1	0	80																									
168	1008	1	1	1	0	100	1	1	1	0	80																									
169	1009	1	1	1	0	100	1	1	1	0	80																									
170	1010	1	1	1	0	100	1	1	1	0	80																									
171	1101	1	1	1	0	100	1	1	1	0	80																									
172	1102	1	1	1	0	100	1	1	1	0	80																									
173	1103	1	1	1	0	100	1	1	1	0	80																									
174	1104	1	1	1	0	100	1	1	1	0	80																									
175	1105	1	1	1	0	100	1	1	1	0	80																									
176	1106	1	1	1	0	100	1	1	1	0	80																									
177	1107	1	1	1	0	100	1	1	1	0	80																									
178	1108	1	1	1	0	100	1	1	1	0	80																									
179	1109	1	1	1	0	100	1	1	1	0	80																									
180	1110	1	1	1	0	100	1	1	1	0	80																									
181	1001	1	1	1	0	100	1	1	1	0	80																									
182	1002	1	1	1	0	100	1	1	1	0	80																									
183	1003	1	1	1	0	100	1	1	1	0	80																									
184	1004	1	1	1	0	100	1	1	1	0	80																									
185	1005	1	1	1	0	100	1	1	1	0	80																									
186	1006	1	1	1	0	100	1	1	1	0	80																									
187	1007	1	1	1	0	100	1	1	1	0	80																									
188	1008	1	1	1	0	100	1	1	1	0	80																									
189	1009	1	1	1	0	100	1	1	1	0	80																									
190	1010	1	1	1	0	100	1	1	1	0	80																									
191	1101	1	1	1	0	100	1	1	1	0	80																									
192	1102	1	1	1	0	100	1	1	1	0	80																									
193	1103	1	1	1	0	100	1	1	1	0	80																									
194	1104	1	1	1	0	100	1	1	1	0	80																									
195	1105	1	1	1	0	100	1	1	1	0	80																									
196	1106	1	1	1	0	100	1	1	1	0	80																									
197	1107	1	1	1	0	100	1	1	1	0	80																									
198	1108	1	1	1	0	100	1	1	1	0	80																									
199	1109	1	1	1	0	100	1	1	1	0	80																									
200	1110	1	1	1	0	100	1	1	1	0	80																									
201	1001	1	1	1	0	100	1	1	1	0	80																									
202	1002	1	1	1	0	100	1	1	1	0	80																									
203	1003	1	1	1	0	100	1	1	1	0	80																									
204	1004	1	1	1	0	100	1	1	1	0	80																									
205	1005	1	1	1	0	100	1	1	1	0	80																									
206	1006	1	1	1	0	100	1	1	1	0	80																									
207	1007	1	1	1	0	100	1	1	1	0	80																									
208	1008	1	1	1	0	100	1	1	1	0	80																									
209	1009	1	1	1	0	100	1	1	1	0	80																									
210	1010	1	1	1	0	100	1	1	1	0	80																									
211	1101	1	1	1	0	100	1	1	1	0	80																									
212	1102	1	1	1	0	100	1	1	1	0	80																									
213	1103	1	1	1	0	100	1	1	1	0	80																									
214	1104	1	1	1	0	100	1	1	1	0	80																									
215	1105	1	1	1	0	100	1	1	1	0	80																									
216	1106	1	1	1	0	100	1	1	1	0	80																									
217	1107	1	1	1	0	100	1	1	1	0	80																									
218	1108	1	1	1	0	100	1	1	1	0	80																									
219	1109	1	1	1	0	100	1	1	1	0	80																									
220	1110	1	1	1	0	100	1	1	1	0	80																									
221	1001	1	1	1	0	100	1	1	1	0	80																									
222	1002	1	1	1	0	100	1	1	1	0	80																									
223	1003	1	1	1	0	100	1	1	1	0	80																									
224	1004	1	1	1	0	100	1	1	1	0	80																									
225	1005	1	1	1	0	100	1	1	1	0	80																									
226	1006	1	1	1	0	100	1	1	1	0	80																									
227	1007	1	1	1	0	100	1	1	1	0	80																									
228	1008	1	1	1	0	100	1	1	1	0	80																									
229	1009	1	1	1	0	100	1	1	1	0	80																									
230	1010	1	1	1	0	100	1	1	1	0	80																									
231	1101	1	1	1	0	100	1	1	1	0	80																									
232	1102	1	1	1	0	100	1	1	1	0	80																									
233	1103	1	1	1	0	100	1	1	1	0	80																									
234	1104	1	1	1	0	100	1	1	1	0	80																									
235	1105	1	1	1	0	100	1	1	1	0	80																									
236	1106	1	1	1	0	100	1	1	1	0	80																									
237	1107	1	1	1	0	100	1	1	1	0	80																									
238	1108	1	1	1	0	100	1	1	1	0	80																									
239	1109	1	1	1	0	100	1	1	1	0	80																									
240	1110	1	1	1	0	100	1	1	1	0	80																									
241	1001	1	1	1	0	100	1	1	1	0	80																									
242	1002	1	1	1	0	100	1	1	1	0	80																									
243	1003	1	1	1	0	100	1	1	1	0	80																									
244	1004	1	1	1	0	100	1	1	1	0	80																									
245	1005	1	1	1	0	100	1	1	1	0	80																									
246	1006	1	1	1	0	100	1	1	1	0	80																									
247	1007	1	1	1	0	100	1	1	1	0	80																									
248	1008	1	1	1	0	100	1	1	1	0	80																									
249	1009	1	1	1	0	100	1	1	1	0	80																									
250	1010	1	1	1	0	100	1	1	1	0	80																									
251	1101	1	1	1	0	100	1	1	1	0	80																									
252	1102	1	1	1	0	100	1	1	1	0	80																									
253	1103	1	1	1	0	100	1	1	1	0	80																									
254	1104	1	1	1	0	100	1	1	1	0	80																									
255	1105	1	1	1	0	100	1	1	1	0	80																									
256	1106	1	1	1	0	100	1	1	1	0	80																									
257	1107	1	1	1	0	100	1	1	1	0	80																									
258	1108	1	1	1	0	100	1	1	1	0	80																									
259	1109	1	1	1	0	100	1	1	1	0	80																									
260	1110	1	1	1	0	100	1	1	1	0	80																									
261	1001	1	1	1	0	100	1	1	1	0	80																									
262	1002	1	1	1	0	100	1	1	1	0	80																									
263	1003	1	1	1	0	100	1	1	1	0	80																									
264	1004	1	1	1	0	100	1	1	1	0	80																									
265	1005	1	1	1	0	100	1	1	1	0	80																									
266	1006	1	1	1	0	100	1	1	1	0	80																									
267	1007	1	1	1	0	100	1	1	1	0	80																									
268	1008	1	1	1	0	100	1	1	1	0	80																									
269	1009	1	1	1	0	100	1	1	1	0	80																									
270	1010	1	1	1	0	100	1	1	1	0	80																									
271	1101	1	1	1	0	100	1	1	1	0	80																									
272	1102	1	1	1	0	100	1	1	1	0	80																									
273	1103	1	1	1	0	100	1	1	1	0	80																									
274	1104	1	1	1	0	100	1	1	1	0	80																									
275	1105	1	1	1	0	100	1	1	1	0	80																									
276	1106	1	1	1	0	100	1	1	1	0	80																									
277	1107	1	1	1	0	100	1	1	1	0	80																									
278	1108	1	1	1	0	100	1	1	1	0	80																									
279	1109	1	1	1	0	100	1	1	1	0	80																									
280	1110	1	1	1	0	100	1	1	1	0	80																									
281	1001	1	1	1	0	100	1	1	1	0	80																									
282	1002	1	1	1	0	100	1	1	1	0	80																									
283	1003	1	1	1	0	100	1	1	1	0	80																									
284	1004	1	1	1	0	100	1	1	1	0	80																									
285	1005	1	1	1	0	100	1	1	1	0	80																									
286	1006	1	1	1	0	100	1	1	1	0	80																									
287	1007	1	1	1	0	100	1	1	1	0	80																									
288	1008	1	1	1	0	100	1	1	1	0	80																									
289	1009	1	1	1	0	100	1	1	1	0	80																									
290	1010	1	1	1	0	100	1	1	1	0	80																									
291	1101	1	1	1	0	100	1	1	1	0	80																									
292	1102	1	1	1	0	100	1	1	1	0	80																									
293	1103	1	1	1	0	100	1	1	1	0	80																									
294	1104	1	1	1	0	100	1	1	1	0	80																									
295	1105	1	1	1	0	100	1	1	1	0	80																									
296	1106	1	1	1	0	100	1	1	1	0	80																									
297	1107	1	1	1	0	100	1	1	1	0	80																									
298	1108	1	1	1	0	100	1	1	1	0	80																									
299	1109	1	1	1	0	100	1	1	1	0	80																									
300	1110	1	1	1	0	100	1	1	1	0	80																									
301	1001	1	1	1	0	100	1	1	1	0	80																									
302	1002	1	1	1	0	100	1	1	1	0	80																									
303	1003	1	1	1	0	100	1	1	1	0	80																									
304	1004	1	1	1	0	100	1	1	1	0	80																									
305	1005	1	1	1	0	100	1	1	1	0	80																									
306	1006	1	1	1	0	100	1	1	1	0	80																									
307	1007	1	1	1	0	100	1	1	1	0	80																									
308	1008	1	1	1	0	100	1	1	1	0	80																									
309	1009	1	1	1	0	100	1	1	1	0	80																									
310	1010	1	1	1	0	100	1	1	1	0	80																									
311	1101	1	1	1	0	100	1	1	1	0	80																									
312	1102	1	1	1	0	100	1	1	1	0	80																									
313	1103	1	1	1	0	100	1	1	1	0	80																									
314	1104	1	1	1	0	100	1	1	1	0	80																									
315	1105	1	1	1	0	100	1	1	1	0	80																									
316	1106	1	1	1	0	100	1	1	1	0	80																									
317	1107	1	1	1	0	100	1	1	1	0	80																									
318	1108	1	1	1	0	100	1	1	1	0	80																									
319	1109	1	1	1	0	100	1	1	1	0	80																									
320	1110	1	1	1	0	100	1	1	1	0	80																									
321	1001	1	1	1	0	100	1	1	1	0	80																									
322	1002	1	1	1	0	100	1	1	1	0	80																									
323	1003	1	1	1	0	100	1	1	1	0	80																									
324	1004	1	1	1	0	100	1	1	1	0	80																									
325	1005	1	1	1	0	100	1	1	1	0	80																									
326	1006	1	1	1	0	100	1	1	1	0	80																									
327	1007	1	1	1	0	100	1	1	1	0	80																									
328	1008	1	1	1	0	100	1	1	1	0	80																									
329	1009	1	1	1	0	100	1	1	1	0	80																									
330	1010	1	1	1	0	100	1	1	1	0	80																									
331	1101	1	1	1	0	100	1	1	1	0	80																									
332	1102	1	1	1	0	100	1	1	1	0	80																									
333	1103	1	1	1	0	100	1	1	1	0	80																									
334	1104	1	1	1	0	100	1	1	1	0	80																									
335	1105	1	1	1	0	100	1	1	1	0	80																									
336	1106	1	1	1	0	100	1	1	1	0	80																									
337	1107	1	1	1	0	100	1	1	1	0	80																									
338	1108	1	1	1	0	100	1	1	1	0	80																									
339	1109	1	1	1	0	100	1	1	1	0	80																									
340	1110	1	1	1	0	100	1	1	1	0	80																									
341	1001	1	1	1	0	100	1	1	1	0	80																									
342	1002	1	1	1	0	100	1	1	1	0	80																									
343	1003	1	1	1	0	100	1	1	1	0	80																									
344	1004	1	1	1	0	100	1	1	1	0	80																									
345	1005	1	1	1	0	100	1	1	1	0	80																									
346	1006	1	1	1	0	100	1	1	1	0	80																									
347	1007	1	1	1	0	100	1	1	1	0	80																									
348	1008	1	1	1	0	100	1	1	1	0	80																									
349	1009	1	1	1	0	100	1	1	1	0	80																									
350	1010	1	1	1	0	100	1	1	1	0	80																									
351	1101	1	1	1	0	100	1	1	1	0	80																									
352	1102	1	1	1	0	100	1	1	1	0	80																									
353	1103	1	1	1	0	100	1	1	1	0	80																									
354	1104	1	1	1	0	100	1	1	1	0	80																									
355	1105	1	1	1	0	100	1	1	1	0	80																									
356	1106	1	1	1	0	100	1	1	1	0	80																									
357	1107	1	1	1	0	100	1	1	1	0	80																									
358	1108	1	1	1	0	100	1	1	1	0	80																									
359	1109	1	1	1	0	100	1	1	1	0	80																									
360	1110	1	1	1	0	100	1	1	1	0	80																									
361	1001	1	1	1	0	100	1	1	1	0	80																									
362	1002	1	1	1	0	100	1	1	1	0	80																									
363	1003	1	1	1	0	100	1	1	1	0	80																									
364	1004	1	1	1	0	100	1	1	1	0	80																									
365	1005	1	1	1	0	100	1	1	1	0	80																									
366	1006	1	1	1	0	100	1	1	1	0	80																									
367	1007	1	1	1	0	100	1	1	1	0	80																									
368	1008	1	1	1	0	100	1	1	1	0	80																									
369	1009	1	1	1	0	100	1	1	1	0	80																									
370	1010	1	1	1	0	100	1	1	1	0	80																									
371	1101	1	1	1	0	100	1	1	1	0	80																									
372	1102	1	1	1	0	100	1	1	1	0	80																									
373	1103	1	1	1	0	100	1	1	1	0	80																									
374	1104	1	1	1	0	100	1	1	1	0	80																									
375	1105	1	1	1	0	100	1	1	1	0	80																									
376	1106	1	1	1	0	100	1	1	1	0	80																									
377	1107	1	1	1	0	100	1	1	1	0	80																									
378	1108	1	1	1	0	100	1	1	1	0	80																									
379	1109	1	1	1	0	100	1	1	1	0	80																									
380	1110	1	1	1	0	100	1	1	1	0	80																									
381	1001	1	1	1	0	100	1	1	1	0	80																									
382	1002	1	1	1	0	100	1	1	1	0	80																									
383	1003	1	1	1	0	100	1	1	1	0	80																									
384	1004	1	1	1	0	100	1	1	1	0	80																									
385	1005	1	1	1	0	100	1	1	1	0	80																									
386	1006	1	1	1	0	100	1	1	1	0	80																									
387	1007	1	1	1	0	100	1	1	1	0	80																									
388	1008	1	1	1	0	100	1	1	1	0	80																									
389	1009	1	1	1	0	100	1	1	1	0	80																									
390	1010	1	1	1	0	100	1	1	1	0	80																									
391	1101	1	1	1	0	100	1	1	1	0	80																									
392	1102	1	1	1	0	100	1	1	1	0	80																									
393	1103	1	1	1	0	100	1	1	1	0	80																									
394	1104	1	1	1	0	100	1	1	1	0	80																									
395	1105	1	1	1	0	100	1	1	1	0	80																									
396	1106	1	1	1	0	100	1	1	1	0	80																									
397	1107	1	1	1	0	100	1	1	1	0	80																									
398	1108	1	1	1	0	100	1	1	1	0	80																									
399	1109	1	1	1	0	100	1	1	1	0	80																									
400	1110	1	1	1	0	100	1	1	1	0	80																									
401	1001	1	1	1	0	100	1	1	1	0	80																									
402	1002	1	1	1	0	100	1	1	1	0	80																									
403	1003	1	1	1	0	100	1	1	1	0	80																									
404	1004	1	1	1	0	100	1	1	1	0	80																									
405	1005	1	1	1	0	100	1	1	1	0	80																									
406	1006	1	1	1	0	100	1	1	1	0	80																									
407	1007	1	1	1	0	100	1	1	1	0	80																									
408	1008	1	1	1	0	100	1	1	1	0	80																									
409	1009	1	1	1	0	100	1	1	1	0	80																									
410	1010	1	1	1	0	100	1	1	1	0	80																									
411	1101	1	1	1	0	100	1	1	1	0	80																									
412	1102	1	1	1	0	100	1	1	1	0	80																									
413	1103	1	1	1	0	100	1	1	1	0	80																									
414	1104	1	1	1	0	100	1	1	1	0	80																									
415	1105	1	1	1	0	100	1	1	1	0	80																									
416	1106	1	1	1	0	100	1	1	1	0	80																									
417	1107	1	1	1	0	100	1	1	1	0	80																									
418	1108	1	1	1	0	100	1	1	1	0	80																									
419	1109	1	1	1	0	100	1	1	1	0	80																									
420	1110	1	1	1	0	100	1	1	1	0	80																									
421	1001	1	1	1	0	100	1	1	1	0	80																									
422	1002	1	1	1	0	100	1	1	1	0	80																									
423	1003	1	1	1	0	100	1	1	1	0	80																									
424	1004	1	1	1	0	100	1	1	1	0	80																									
425	1005	1	1	1	0	100	1	1	1	0	80																									
426	1006	1	1	1	0	100	1	1	1	0	80																									
427	1007	1	1	1	0	100	1	1	1	0	80																									
428	1008	1	1	1	0	100	1	1	1	0	80																									
429	1009	1	1	1	0	100	1	1	1	0	80																									
430	1010	1	1	1	0	100	1	1	1	0	80																									
431	1101	1	1	1	0	100	1	1	1	0	80																									
432	1102	1	1	1	0	100	1	1	1	0	80																									
433	1103	1	1	1	0	100	1	1	1	0	80																									
434	1104	1	1	1	0	100	1	1	1	0	80																									
435	1105	1	1	1	0	100	1	1	1	0	80																									
436	1106	1	1	1	0	100	1	1	1	0	80																									
437	1107	1	1	1	0	100	1	1	1	0	80																									
438	1108	1	1	1	0	100	1	1	1	0	80																									
439	1109	1	1	1	0	100	1	1	1	0	80																									
440	1110	1	1	1	0	100	1	1	1	0	80																									
441	1001	1	1	1	0	100	1	1	1	0	80																									
442	1002	1	1	1	0	100	1	1	1	0	80																									
443	1003	1	1	1	0	100	1	1	1	0	80																									
444	1004	1	1	1	0	100	1	1	1	0	80																									
445	1005	1	1	1	0	100	1	1	1	0	80																									
446	1006	1	1	1	0	100	1	1	1	0	80																									
447	1007	1	1	1	0	100	1	1	1	0	80																									
448	1008	1	1	1	0	100	1	1	1	0	80																									
449	1009	1	1	1	0	100	1	1	1	0	80																									
450	1010	1	1	1	0	100	1	1	1	0	80																									
451	1101	1	1	1	0	100	1	1	1	0	80																									
452	1102	1	1	1	0	100	1	1	1	0	80																									
453	1103	1	1	1	0	100	1	1	1	0	80																									
454	1104	1	1	1	0	100	1	1	1	0	80																									
455	1105	1	1	1	0	100	1	1	1	0	80																									
456	1106	1	1	1	0	100	1	1	1	0	80																									
457	1107	1	1	1	0	100	1	1	1	0	80																									
458	1108	1	1	1	0	100	1	1	1	0	80																									
459	1109	1	1	1	0	100	1	1	1	0	80																									
460	1110	1	1	1	0	100	1	1	1	0	80																									
461	1001	1	1	1	0	100	1	1	1	0	80																									
462	1002	1	1	1	0	100	1	1	1	0	80																									
463	1003	1	1	1	0	100	1	1	1	0	80																									
464	1004	1	1	1	0	100	1	1	1	0	80																									
465	1005	1	1	1	0	100	1	1	1	0	80																									
466	1006	1	1	1	0	100	1	1	1	0	80																									
467	1007	1	1	1	0	100	1	1	1	0	80																									
468	1008	1	1	1	0	100	1	1	1	0	80																									
469	1009	1	1	1	0	100	1	1	1	0	80																									
470	1010	1	1	1	0	100	1	1	1	0	80																									
471	1101	1	1	1	0	100	1	1	1	0	80																									
472	1102	1	1	1	0	100	1	1	1	0	80																									
473	1103	1	1	1	0	100	1	1	1	0	80																									
474	1104	1	1	1	0	100	1	1	1	0	80																									
475	1105	1	1	1	0	100	1	1	1	0	80																									
476	1106	1	1	1	0	100	1	1	1	0	80																									
477	1107	1	1	1	0	100	1	1	1	0	80																									
478	1108	1	1	1	0	100	1	1	1	0	80																									
479	1109	1	1	1	0	100	1	1	1	0	80																									
480	1110	1	1	1	0	100	1	1	1	0	80																									
481	1001	1	1	1	0	100	1	1	1	0	80																									
482	1002	1	1	1	0	100	1	1	1	0	80																									
483	1003	1	1	1	0	100	1	1	1	0	80																									
484	1004	1	1	1	0	100	1	1	1	0	80																									
485	1005	1	1	1	0	100	1	1	1	0	80																									
486	1006	1	1	1	0	100	1	1	1	0	80																									
487	1007	1	1	1	0	100	1	1	1	0	80																									
488	1008	1	1	1	0	100	1	1	1	0	80																									
489	1009	1	1	1	0	100	1	1	1	0	80																									
490	1010	1	1	1	0	100	1	1	1	0	80																									
491	1101	1	1	1	0	100	1	1	1	0	80																									
492	1102	1	1	1	0	100	1	1	1	0	80																									
493	1103	1	1	1	0	100	1	1	1	0	80																									
494	1104	1	1	1	0	100	1	1	1	0	80																									
495	1105	1	1	1	0	100	1	1	1	0	80																									
496	1106	1	1	1	0	100	1	1	1	0	80																									
