id	NAME	代号	desc	代号	所属地图	颜色	icon	属性1	数值1	属性2	数值2	属性3	数值3	属性4	数值4	获得途径	声望1	声望2
5102	红宝石魔坠	t_artifact_name_5102	因为强大的能量而被偷窃后暗淡的魔坠	t_artifact_desc_5102	5	3	5102	1	1	1	1	1	1	1	1	4	20	20
5103	阿贝利希的诅咒	t_artifact_name_5103	一件拥有无尽诅咒的戒指	t_artifact_desc_5103	5	4	5103	1	1	1	1	1	1	1	1	4	40	40
5104	贤者之石	t_artifact_name_5104	能拿来将一般非贵重金属变成黄金，或制造能让人长生不老的万能药	t_artifact_desc_5104	5	4	5104	1	1	1	1	1	1	1	1	4	40	40
5105	乌尔德之泉	t_artifact_name_5105	浇灌生命之树的泉水	t_artifact_desc_5105	5	5	5105	1	1	1	1	1	1	1	1	4	80	80
6001	赫格尼之剑	t_artifact_name_6001	出鞘就要夺人性命，挥动时必定命中目标，并且造成的伤口无法治疗	t_artifact_desc_6001	6	2	6001	1	1	1	1	1	1	1	1	4	20	20
6002	月神手镯	t_artifact_name_6002	月神赏赐给精灵的手镯	t_artifact_desc_6002	6	2	6002	1	1	1	1	1	1	1	1	4	20	20
6003	疾风漆黑矢	t_artifact_name_6003	风与火缠绕武器之上，投掷出去可以烧毁一切	t_artifact_desc_6003	6	2	6003	1	1	1	1	1	1	1	1	4	20	20
6004	火种爆和快帚	t_artifact_name_6004	舍弃速度而追求强大的暴力的魔法扫帚	t_artifact_desc_6004	6	2	6004	1	1	1	1	1	1	1	1	4	20	20
6005	二刀流	t_artifact_name_6005	强大的战力支配强大的武器，不间断的攻击足以摧毁一切	t_artifact_desc_6005	6	2	6005	1	1	1	1	1	1	1	1	4	20	20
6006	阿斯摩太翼镰	t_artifact_name_6006	地狱业火侵蚀，挥动可以划破空间	t_artifact_desc_6006	6	2	6006	1	1	1	1	1	1	1	1	4	20	20
6007	爱神之弓	t_artifact_name_6007	能射出带着翅膀具有光与热的神箭，经常被诗人用来歌颂爱情	t_artifact_desc_6007	6	2	6007	1	1	1	1	1	1	1	1	4	20	20
6008	魔苟斯的铁王冠	t_artifact_name_6008	传闻传世神用精灵宝钻打造而成	t_artifact_desc_6008	6	2	6008	1	1	1	1	1	1	1	1	4	20	20
6009	地狱瘟疫影陨	t_artifact_name_6009	古往今来，它杀了太多人了	t_artifact_desc_6009	6	3	6009	1	1	1	1	1	1	1	1	4	20	20
6010	伊兰之灯	t_artifact_name_6010	照亮世间万物	t_artifact_desc_6010	6	3	6010	1	1	1	1	1	1	1	1	4	20	20
6101	腐皮之书	t_artifact_name_6101	封皮虽然腐烂，但里面的内容保存完好	t_artifact_desc_6101	6	3	6101	1	1	1	1	1	1	1	1	4	20	20
6102	阿瑞斯长衣	t_artifact_name_6102	战神的衣服沾染了太多神魔的鲜血	t_artifact_desc_6102	6	3	6102	1	1	1	1	1	1	1	1	4	20	20
6103	天之锁	t_artifact_name_6103	能打开封有时间万物宝库的钥匙	t_artifact_desc_6103	6	4	6103	1	1	1	1	1	1	1	1	4	40	40
6104	海德拉的毒液	t_artifact_name_6104	海德拉的血液里面含有可怕的毒素	t_artifact_desc_6104	6	4	6104	1	1	1	1	1	1	1	1	4	40	40
6105	赫卡忒的锡杖	t_artifact_name_6105	女神赫卡忒赐予的锡杖	t_artifact_desc_6105	6	5	6105	1	1	1	1	1	1	1	1	4	80	80
7001	诸神黄昏	t_artifact_name_7001	拥有神奇的力量，仿佛可以带来世界末日	t_artifact_desc_7001	7	2	7001	1	1	1	1	1	1	1	1	4	20	20
7002	摩洛克伊面具	t_artifact_name_7002	毁灭之神的面具，传说正是这个面具使得法神可以无限制释放魔法	t_artifact_desc_7002	7	2	7002	1	1	1	1	1	1	1	1	4	20	20
7003	神之号角	t_artifact_name_7003	吹响就能召唤出无数天使听使用者命令	t_artifact_desc_7003	7	2	7003	1	1	1	1	1	1	1	1	4	20	20
7004	阿拉克涅的披肩	t_artifact_name_7004	阿拉克涅自己织出来的第一件披肩	t_artifact_desc_7004	7	2	7004	1	1	1	1	1	1	1	1	4	20	20
7005	莉莉丝的预言	t_artifact_name_7005	远古夜之魔女莉莉丝用来预言世间万物流转的道具	t_artifact_desc_7005	7	2	7005	1	1	1	1	1	1	1	1	4	20	20
7006	伊西斯的祝福	t_artifact_name_7006	伊西斯祝福过的道具，可源源不断生命之力	t_artifact_desc_7006	7	2	7006	1	1	1	1	1	1	1	1	4	20	20
7007	奥西里斯权柄	t_artifact_name_7007	冥神的权杖，可判断死后的人是否可以永生	t_artifact_desc_7007	7	2	7007	1	1	1	1	1	1	1	1	4	20	20
7008	至尊魔戒	t_artifact_name_7008	可以保存人的生命力与意志，只需佩戴一瞬就可永生	t_artifact_desc_7008	7	2	7008	1	1	1	1	1	1	1	1	4	20	20
7009	太阳浩劫	t_artifact_name_7009	传闻世界刚成型，传世神便用它挡住了太阳洒下的滔天火焰	t_artifact_desc_7009	7	3	7009	1	1	1	1	1	1	1	1	4	20	20
7010	幻世理想乡	t_artifact_name_7010	远离一切的理想乡	t_artifact_desc_7010	7	3	7010	1	1	1	1	1	1	1	1	4	20	20
7101	尼伯龙根的指环	t_artifact_name_7101	用金子打造而成的被诅咒的戒指	t_artifact_desc_7101	7	3	7101	1	1	1	1	1	1	1	1	4	20	20
7102	树中剑	t_artifact_name_7102	象征着荣耀与灭亡	t_artifact_desc_7102	7	3	7102	1	1	1	1	1	1	1	1	4	20	20
7103	黄金酒杯	t_artifact_name_7103	用来招待神的酒杯	t_artifact_desc_7103	7	4	7103	1	1	1	1	1	1	1	1	4	40	40
7104	圣杯	t_artifact_name_7104	能用来许愿的神器	t_artifact_desc_7104	7	4	7104	1	1	1	1	1	1	1	1	4	40	40
7105	木马	t_artifact_name_7105	可以自动行走的木马	t_artifact_desc_7105	7	5	7105	1	1	1	1	1	1	1	1	4	80	80
8001	穿心枪	t_artifact_name_8001	只需在敌人身上造成一个伤口，就会张开30根倒刺将敌人开膛剖肚	t_artifact_desc_8001	8	2	8001	1	1	1	1	1	1	1	1	4	20	20
8002	莱万汀	t_artifact_name_8002	在战场上具有使挥舞者所向无敌的神力，而且不需手持便可自动杀敌	t_artifact_desc_8002	8	2	8002	1	1	1	1	1	1	1	1	4	20	20
8003	生命之瓶	t_artifact_name_8003	生命之瓶里装的是万物之种和生命泉水	t_artifact_desc_8003	8	2	8003	1	1	1	1	1	1	1	1	4	20	20
8004	龙之宝玉奥普	t_artifact_name_8004	从世界诞生时开始，便存在的神器之一	t_artifact_desc_8004	8	2	8004	1	1	1	1	1	1	1	1	4	20	20
8005	埃吉斯	t_artifact_name_8005	可起盾牌的防卫作用，也可用于进攻	t_artifact_desc_8005	8	2	8005	1	1	1	1	1	1	1	1	4	20	20
8006	安德华拉诺特	t_artifact_name_8006	可以带领佩戴者寻找到财富	t_artifact_desc_8006	8	2	8006	1	1	1	1	1	1	1	1	4	20	20
8007	冈尼尔	t_artifact_name_8007	百发百中的神枪，可以击穿它击中的任何东西	t_artifact_desc_8007	8	2	8007	1	1	1	1	1	1	1	1	4	20	20
8008	命运之石	t_artifact_name_8008	能使国王恢复青春、重返盛年延续统治	t_artifact_desc_8008	8	2	8008	1	1	1	1	1	1	1	1	4	20	20
8009	艾瑞尼尔	t_artifact_name_8009	用来神猪的大锅	t_artifact_desc_8009	8	3	8009	1	1	1	1	1	1	1	1	4	20	20
8010	格莱普尼尔	t_artifact_name_8010	用来绑缚魔狼的神奇绳索	t_artifact_desc_8010	8	3	8010	1	1	1	1	1	1	1	1	4	20	20
8101	密米尔之泉	t_artifact_name_8101	据说只要喝上一口泉水就能到智慧	t_artifact_desc_8101	8	3	8101	1	1	1	1	1	1	1	1	4	20	20
8102	尼米亚护手	t_artifact_name_8102	保护手臂，能发出强大的力量的护手	t_artifact_desc_8102	8	3	8102	1	1	1	1	1	1	1	1	4	20	20
8103	伊卡洛斯翅膀	t_artifact_name_8103	佩戴可以飞行的翅膀	t_artifact_desc_8103	8	4	8103	1	1	1	1	1	1	1	1	4	40	40
8104	预言凉鞋	t_artifact_name_8104	预言者求识时说穿戴的鞋子	t_artifact_desc_8104	8	4	8104	1	1	1	1	1	1	1	1	4	40	40
8105	哈迪斯桂冠	t_artifact_name_8105	死神的象征	t_artifact_desc_8105	8	5	8105	1	1	1	1	1	1	1	1	4	80	80
9001	阿喀琉斯的护具	t_artifact_name_9001	一双可以抵挡任何攻击的鞋子	t_artifact_desc_9001	9	2	9001	1	1	1	1	1	1	1	1	4	20	20
9002	格拉墨	t_artifact_name_9002	以永恒之枪击碎过的宝剑，后重新打造成完整的宝剑	t_artifact_desc_9002	9	2	9002	1	1	1	1	1	1	1	1	4	20	20
9003	雅恩格利佩尔	t_artifact_name_9003	一把坚固的铁手套	t_artifact_desc_9003	9	2	9003	1	1	1	1	1	1	1	1	4	20	20
9004	力量腰带	t_artifact_name_9004	佩戴者拥有无穷力量的腰带	t_artifact_desc_9004	9	2	9004	1	1	1	1	1	1	1	1	4	20	20
9005	纳吉尔法	t_artifact_name_9005	一艘在末世中行走的船	t_artifact_desc_9005	9	2	9005	1	1	1	1	1	1	1	1	4	20	20
9006	雷沃汀	t_artifact_name_9006	它的光芒如同太阳一样耀眼，永远燃烧着火焰	t_artifact_desc_9006	9	2	9006	1	1	1	1	1	1	1	1	4	20	20
9007	黄金长矛	t_artifact_name_9007	胜利女神所化的黄金长矛	t_artifact_desc_9007	9	2	9007	1	1	1	1	1	1	1	1	4	20	20
9008	尼奥尔德的桨	t_artifact_name_9008	能轻易掀起滔天巨浪，更能引起风暴和海啸	t_artifact_desc_9008	9	2	9008	1	1	1	1	1	1	1	1	4	20	20
9009	乌勒尔雪靴	t_artifact_name_9009	能够在雪中自由行走的鞋子	t_artifact_desc_9009	9	3	9009	1	1	1	1	1	1	1	1	4	20	20
9010	希尔文	t_artifact_name_9010	从世界诞生时开始，便存在的神器之一	t_artifact_desc_9010	9	3	9010	1	1	1	1	1	1	1	1	4	20	20
9101	唤雨短杖	t_artifact_name_9101	配合咒语可以释放雷雨	t_artifact_desc_9101	9	3	9101	1	1	1	1	1	1	1	1	4	20	20
9102	万能腰带	t_artifact_name_9102	一件可以存放无限物品的腰带	t_artifact_desc_9102	9	3	9102	1	1	1	1	1	1	1	1	4	20	20
9103	雷云手套	t_artifact_name_9103	被雷云环绕的手套	t_artifact_desc_9103	9	4	9103	1	1	1	1	1	1	1	1	4	40	40
9104	地狱火炬	t_artifact_name_9104	地狱的一切光芒都在这个火炬之上	t_artifact_desc_9104	9	4	9104	1	1	1	1	1	1	1	1	4	40	40
9105	破坏神之手影	t_artifact_name_9105	它能创造与毁灭众生	t_artifact_desc_9105	9	5	9105	1	1	1	1	1	1	1	1	4	80	80
10001	提尔锋	t_artifact_name_10001	不会生锈的利剑	t_artifact_desc_10001	10	2	10001	1	1	1	1	1	1	1	1	4	20	20
10002	一言蔽之	t_artifact_name_10002	切裂世界之剑	t_artifact_desc_10002	10	2	10002	1	1	1	1	1	1	1	1	4	20	20
10003	乌勒尔的盾	t_artifact_name_10003	盾神的盾，用紫衫木打造而成	t_artifact_desc_10003	10	2	10003	1	1	1	1	1	1	1	1	4	20	20
10004	布里欧纳克	t_artifact_name_10004	不管面对多遥远的敌人，都可放射出死亡的光芒	t_artifact_desc_10004	10	2	10004	1	1	1	1	1	1	1	1	4	20	20
10005	里拉竖琴	t_artifact_name_10005	能弹奏出美妙的旋律犹如天籁的七弦琴	t_artifact_desc_10005	10	2	10005	1	1	1	1	1	1	1	1	4	20	20
10006	流亡之刃	t_artifact_name_10006	用本就是神剑的剑柄改造而成	t_artifact_desc_10006	10	2	10006	1	1	1	1	1	1	1	1	4	20	20
10007	飞鞋	t_artifact_name_10007	穿戴着脚上就能飞翔的鞋子	t_artifact_desc_10007	10	2	10007	1	1	1	1	1	1	1	1	4	20	20
10008	阿尔忒弥斯的弓箭	t_artifact_name_10008	给人们带来突然的疾病和死亡	t_artifact_desc_10008	10	2	10008	1	1	1	1	1	1	1	1	4	20	20
10009	青铜盾	t_artifact_name_10009	明亮的像镜子一样的盾，照射敌人就会被击杀	t_artifact_desc_10009	10	3	10009	1	1	1	1	1	1	1	1	4	20	20
10010	阿斯卡隆	t_artifact_name_10010	曾经为了拯救公主而屠龙的宝剑	t_artifact_desc_10010	10	3	10010	1	1	1	1	1	1	1	1	4	20	20
10101	加尔的红宝石	t_artifact_name_10101	加尔用这种红宝石造出了侏儒族	t_artifact_desc_10101	10	3	10101	1	1	1	1	1	1	1	1	4	20	20
10102	黑玛瑙雕像	t_artifact_name_10102	可以用来召唤神兽的雕像	t_artifact_desc_10102	10	3	10102	1	1	1	1	1	1	1	1	4	20	20
10103	痛苦弩箭	t_artifact_name_10103	可以释放出不同类型箭弩的弩箭	t_artifact_desc_10103	10	4	10103	1	1	1	1	1	1	1	1	4	40	40
10104	海拉尔之盾	t_artifact_name_10104	可以防御任何正面攻击	t_artifact_desc_10104	10	4	10104	1	1	1	1	1	1	1	1	4	40	40
10105	先知之手	t_artifact_name_10105	据说来自神界的护手	t_artifact_desc_10105	10	5	10105	1	1	1	1	1	1	1	1	4	80	80
11001	女神权杖	t_artifact_name_11001	女神的权杖，意味着正义与胜利	t_artifact_desc_11001	11	2	11001	1	1	1	1	1	1	1	1	4	20	20
11002	女神的胜利花环	t_artifact_name_11002	胜利女神所戴的花环	t_artifact_desc_11002	11	2	11002	1	1	1	1	1	1	1	1	4	20	20
11003	阿波罗的金球	t_artifact_name_11003	象征太阳的金球	t_artifact_desc_11003	11	2	11003	1	1	1	1	1	1	1	1	4	20	20
11004	太阳神的纹章	t_artifact_name_11004	象征创造与再生	t_artifact_desc_11004	11	2	11004	1	1	1	1	1	1	1	1	4	20	20
11005	盘蛇短杖	t_artifact_name_11005	盘着两条蛇的短杖	t_artifact_desc_11005	11	2	11005	1	1	1	1	1	1	1	1	4	20	20
11006	尼德霍格之眼	t_artifact_name_11006	黑龙尼德霍格之眼，吸收了世界之树的能量，从而脱离黑龙而存在	t_artifact_desc_11006	11	2	11006	1	1	1	1	1	1	1	1	4	20	20
11007	雷霆	t_artifact_name_11007	传言为最强的矛	t_artifact_desc_11007	11	2	11007	1	1	1	1	1	1	1	1	4	20	20
11008	螺旋魔剑	t_artifact_name_11008	这把剑寄宿着天雷的强大力量	t_artifact_desc_11007	11	2	11008	1	1	1	1	1	1	1	1	4	20	20
11009	伽耶伯格	t_artifact_name_11009	枪尖极锋利，且刃上有锯齿	t_artifact_desc_11009	11	3	11009	1	1	1	1	1	1	1	1	4	20	20
11010	斯基德普拉特尼	t_artifact_name_11010	这艘船可随意伸缩，亦可在陆地上行走	t_artifact_desc_11010	11	3	11010	1	1	1	1	1	1	1	1	4	20	20
11101	死者之书	t_artifact_name_11101	供死后的神明阅读的书籍	t_artifact_desc_11101	11	3	11101	1	1	1	1	1	1	1	1	4	20	20
11102	黄金发	t_artifact_name_11102	用金丝制成的一顶黄金发	t_artifact_desc_11102	11	3	11102	1	1	1	1	1	1	1	1	4	20	20
11103	弑神之枪	t_artifact_name_11103	这件神器的形态不仅限于枪一种形态	t_artifact_desc_11103	11	4	11103	1	1	1	1	1	1	1	1	4	40	40
11104	德摩斯双剑	t_artifact_name_11104	同时挥动可以斩断大地	t_artifact_desc_11104	11	4	11104	1	1	1	1	1	1	1	1	4	40	40
11105	歌神的竖琴	t_artifact_name_11105	歌神用它弹奏出世间最不可抵御的声音	t_artifact_desc_11105	11	5	11105	1	1	1	1	1	1	1	1	4	80	80
12001	光之剑	t_artifact_name_12001	一旦出鞘，无人能抵挡光之剑一击	t_artifact_desc_12001	12	2	12001	1	1	1	1	1	1	1	1	4	20	20
12002	魔那尔多	t_artifact_name_12002	带有巨大的诅咒的戒指	t_artifact_desc_12002	12	2	12002	1	1	1	1	1	1	1	1	4	20	20
12003	莎拉维尔	t_artifact_name_12003	最诡异的刀，击杀过太多的人	t_artifact_desc_12003	12	2	12003	1	1	1	1	1	1	1	1	4	20	20
12004	鲁格之枪	t_artifact_name_12004	手持鲁格之枪者，无人能敌，战无不胜	t_artifact_desc_12004	12	2	12004	1	1	1	1	1	1	1	1	4	20	20
12005	佛拉格拉克	t_artifact_name_12005	可劈开任何盔甲	t_artifact_desc_12005	12	2	12005	1	1	1	1	1	1	1	1	4	20	20
12006	玛丽亚圣石	t_artifact_name_12006	天神都难求的宝石	t_artifact_desc_12006	12	2	12006	1	1	1	1	1	1	1	1	4	20	20
12007	使徒十字	t_artifact_name_12007	所有的人都会臣服在这把剑的下面	t_artifact_desc_12007	12	2	12007	1	1	1	1	1	1	1	1	4	20	20
12008	火焰斗篷	t_artifact_name_12008	附带无尽的火焰的斗篷	t_artifact_desc_12008	12	2	12008	1	1	1	1	1	1	1	1	4	20	20
12009	命运之轮	t_artifact_name_12009	无休无止的转动着，宇宙的一切流转对它都没有意义	t_artifact_desc_12009	12	3	12009	1	1	1	1	1	1	1	1	4	20	20
12010	法典	t_artifact_name_12010	能约束时间万物的法理书籍	t_artifact_desc_12010	12	3	12010	1	1	1	1	1	1	1	1	4	20	20
12101	厄洛斯的守护	t_artifact_name_12101	一个拥有无限能量的防御球	t_artifact_desc_12101	12	3	12101	1	1	1	1	1	1	1	1	4	20	20
12102	哈迪斯的宽恕	t_artifact_name_12102	一块哈迪斯赠与的硬币，可以让死神饶过你一次	t_artifact_desc_12102	12	3	12102	1	1	1	1	1	1	1	1	4	20	20
12103	天穹之弓	t_artifact_name_12103	只需要射出一箭就能召唤出无数支箭从天而降	t_artifact_desc_12103	12	4	12103	1	1	1	1	1	1	1	1	4	40	40
12104	德罗普尼尔	t_artifact_name_12104	每一段时间就会诞生出很多相同的戒指	t_artifact_desc_12104	12	4	12104	1	1	1	1	1	1	1	1	4	40	40
12105	卢恩符文	t_artifact_name_12105	需要合理的组合能产生力量的符文	t_artifact_desc_12105	12	5	12105	1	1	1	1	1	1	1	1	4	80	80
13001	美杜莎的眼睛	t_artifact_name_13001	谁看到它就会被石化	t_artifact_desc_13001	13	2	13001	1	1	1	1	1	1	1	1	4	20	20
13002	阿刻戎之矛	t_artifact_name_13002	一柄吸食痛苦之人鲜血的武器	t_artifact_desc_13002	13	2	13002	1	1	1	1	1	1	1	1	4	20	20
13003	阿基里斯之盾	t_artifact_name_13003	由众多神灵精工创造的盾牌，盾牌上刻着浮雕	t_artifact_desc_13003	13	2	13003	1	1	1	1	1	1	1	1	4	20	20
13004	小丑匕首	t_artifact_name_13004	总是能在敌人最开心的时候取走他们的性命	t_artifact_desc_13004	13	2	13004	1	1	1	1	1	1	1	1	4	20	20
13005	金刚石之砂	t_artifact_name_13005	能够自由夺去时空并把它加速、停止或者回潮	t_artifact_desc_13005	13	2	13005	1	1	1	1	1	1	1	1	4	20	20
13006	星辰杖	t_artifact_name_13006	使用时诸天星座都会受其感应	t_artifact_desc_13006	13	2	13006	1	1	1	1	1	1	1	1	4	20	20
13007	神恩集	t_artifact_name_13007	源源不断提供能量的书籍	t_artifact_desc_13007	13	2	13007	1	1	1	1	1	1	1	1	4	20	20
13008	阿修罗项环	t_artifact_name_13008	为了制止暴乱的阿修罗制作的抑制它们的项环	t_artifact_desc_13008	13	2	13008	1	1	1	1	1	1	1	1	4	20	20
13009	远征记	t_artifact_name_13009	记录了神的军队走过的路	t_artifact_desc_13009	13	3	13009	1	1	1	1	1	1	1	1	4	20	20
13010	神元	t_artifact_name_13010	远古神族的货币，具有强大的能量	t_artifact_desc_13010	13	3	13010	1	1	1	1	1	1	1	1	4	20	20
13101	阿瑞斯之剑	t_artifact_name_13101	战神使用的神剑	t_artifact_desc_13101	13	3	13101	1	1	1	1	1	1	1	1	4	20	20
13102	万符必应破戒	t_artifact_name_13102	能破除一切魔法的破戒符	t_artifact_desc_13102	13	3	13102	1	1	1	1	1	1	1	1	4	20	20
13103	弥达斯手套	t_artifact_name_13103	点石成金的秘密	t_artifact_desc_13103	13	4	13103	1	1	1	1	1	1	1	1	4	40	40
13104	克洛诺斯魔方	t_artifact_name_13104	时间之神的魔方，可以回到一定时间之前	t_artifact_desc_13104	13	4	13104	1	1	1	1	1	1	1	1	4	40	40
13105	许癸厄亚之杯	t_artifact_name_13105	一条蛇缠绕一个杯子，无尽的生命之力在杯子里	t_artifact_desc_13105	13	5	13105	1	1	1	1	1	1	1	1	4	80	80
14001	黑龙的秘宝	t_artifact_name_14001	一把可以打开黑龙藏起来的宝藏的钥匙	t_artifact_desc_14001	14	2	14001	1	1	1	1	1	1	1	1	4	20	20
