起点	标题	标题	对话	对话	选项1	选项1	选项1执行type	选项1执行参数	选项1执行参数	选项2	选项2	选项2执行type	选项2执行参数	选项2执行参数	选项3	选项3	选项3执行type	选项3执行参数	选项3执行参数	选项4	选项4	选项4	选项4执行type	选项4执行参数	对话头像id
10200101	雪莱	t_director_title_10200101	你还真是强大，人类已经积蓄很久的力量了，就在等着像你这样的人来为人类的未来开路呢	t_director_dialog_10200101		t_director_option0_10200101	0	10200102			t_director_option1_10200101					t_director_option2_10200101					t_director_option3_10200101				1
10200102	雪莱	t_director_title_10200102	你能打通这两个地方很厉害，接下来的<color=#fdc83a>沃野沼泽</color>还请一定要小心，人类几十年来未曾踏足那里，有怎么样的危险公会也没有探查到	t_director_dialog_10200102		t_director_option0_10200102	0	10200103			t_director_option1_10200102					t_director_option2_10200102					t_director_option3_10200102				1
10200103	雪莱	t_director_title_10200103	对了，随着公会的实力越来越强大，公会最近开设了一种循环渐进的任务系统，都是城内居民们，或者公会下发的一些任务	t_director_dialog_10200103		t_director_option0_10200103	0	10200104			t_director_option1_10200103					t_director_option2_10200103					t_director_option3_10200103				1
10200104	雪莱	t_director_title_10200104	你有空的话可以去找<color=#fdc83a>伊迪丝</color>了解一下任务的情况，这种任务一定能让你在接下来的沃野沼泽中更游刃有余	t_director_dialog_10200104	好的	t_director_option0_10200104	1				t_director_option1_10200104					t_director_option2_10200104					t_director_option3_10200104				1
10300100	雪莱	t_director_title_10300100	恭喜你，又让人类前进了一步	t_director_dialog_10300100		t_director_option0_10300100	0	10300101			t_director_option1_10300100					t_director_option2_10300100					t_director_option3_10300100				1
10300101	雪莱	t_director_title_10300101	在你的努力下，人类的地盘已经越来越大了，为了报答你，也为了增强你的实力，公会准备为你准备了增强实力的方法	t_director_dialog_10300101		t_director_option0_10300101	0	10300102			t_director_option1_10300101					t_director_option2_10300101					t_director_option3_10300101				1
10300102	雪莱	t_director_title_10300102	在接下来的征讨中，你抽空去找一下伊迪丝吧，具体的情况她会向你说明的	t_director_dialog_10300102	好的	t_director_option0_10300102	1				t_director_option1_10300102					t_director_option2_10300102					t_director_option3_10300102				1
20101100	铁匠:卡普	t_director_title_20101100	冒险者？	t_director_dialog_20101100		t_director_option0_20101100	0	20101101			t_director_option1_20101100					t_director_option2_20101100					t_director_option3_20101100				1000
20101101	铁匠:卡普	t_director_title_20101101	冒险者，你总算来了	t_director_dialog_20101101		t_director_option0_20101101	0	20101102			t_director_option1_20101101					t_director_option2_20101101					t_director_option3_20101101				1000
20101102	铁匠:卡普	t_director_title_20101102	我出城寻找优异的铁矿，然后我遇到了为祸的<color=#fdc83a>哥布林法师</color>，吓得我赶紧就跑，可惜了我祖传的铁锤，被我掉在了半路，被那帮哥布林捡走了	t_director_dialog_20101102		t_director_option0_20101102	0	20101103			t_director_option1_20101102					t_director_option2_20101102					t_director_option3_20101102				1000
20101103	铁匠:卡普	t_director_title_20101103	该死的哥布林，气死我了，冒险者，请你一定要帮我夺回我的铁锤，那可是我铁匠铺传承了几百年的锤子	t_director_dialog_20101103	我还有事	t_director_option0_20101103	2			好的	t_director_option1_20101103	1				t_director_option2_20101103					t_director_option3_20101103				1000
20101200	铁匠:卡普	t_director_title_20101200	你夺回我的铁锤了吗？冒险者	t_director_dialog_20101200	我去寻找	t_director_option0_20101200	2			交纳铁锤	t_director_option1_20101200	6	20101201			t_director_option2_20101200					t_director_option3_20101200				1000
20101201	铁匠:卡普	t_director_title_20101201	太好了，我亲爱的锤子终于回来了	t_director_dialog_20101201		t_director_option0_20101201	0	20101202			t_director_option1_20101201					t_director_option2_20101201					t_director_option3_20101201				1000
20101202	铁匠:卡普	t_director_title_20101202	你帮了我，我一定要答谢你，我可以教导你怎么打造装备	t_director_dialog_20101202		t_director_option0_20101202	0	20101203			t_director_option1_20101202					t_director_option2_20101202					t_director_option3_20101202				1000
20101203	铁匠:卡普	t_director_title_20101203	这是我之前收集到的材料，你可以用这些材料在你<color=#fdc83a>背包里的锻造</color>界面打造一把属于你的防具	t_director_dialog_20101203	好的	t_director_option0_20101203	1				t_director_option1_20101203					t_director_option2_20101203					t_director_option3_20101203				1000
20101300	铁匠:卡普	t_director_title_20101300	恭喜你掌握了打造装备的技术，以后你获得了材料就可以用来打造装备来强化你的实力了	t_director_dialog_20101300		t_director_option0_20101300	0	20101301			t_director_option1_20101300					t_director_option2_20101300					t_director_option3_20101300				1000
20101301	铁匠:卡普	t_director_title_20101301	另外告诉你，装备的一种强化装备的基础手法，使用金币对装备进行<color=#fdc83a>附魔</color>，只要你有金币，锻造之神不会限制你的附魔的次数	t_director_dialog_20101301		t_director_option0_20101301	0	20101302			t_director_option1_20101301					t_director_option2_20101301					t_director_option3_20101301				1000
20101302	铁匠:卡普	t_director_title_20101302	正因为附魔这样的锻造技术，才总是有人说我们铁匠是吸血鬼，我明明是用钱拿去做研究了	t_director_dialog_20101302		t_director_option0_20101302	0	20101303			t_director_option1_20101302					t_director_option2_20101302					t_director_option3_20101302				1000
20101303	铁匠:卡普	t_director_title_20101303	说着我这就要回城了，以后需要你的帮助，我回去刷子公会找你的，哈哈，再见	t_director_dialog_20101303	再见	t_director_option0_20101303	1				t_director_option1_20101303					t_director_option2_20101303					t_director_option3_20101303				1000
20102100	帕莎	t_director_title_20102100	没见过的面孔，城外很危险的，你竟然有勇气出城	t_director_dialog_20102100		t_director_option0_20102100	0	20102101			t_director_option1_20102100					t_director_option2_20102100					t_director_option3_20102100				1001
20102101	帕莎	t_director_title_20102101	那就帮我一个忙吧，我最近正在研究一道新菜，需要上好的<color=#fdc83a>鹿肉</color>，我正在这里监视鹿的一举一动，准备伺机猎杀几只	t_director_dialog_20102101		t_director_option0_20102101	0	20102102			t_director_option1_20102101					t_director_option2_20102101					t_director_option3_20102101				1001
20102102	帕莎	t_director_title_20102102	遇到你也算是有缘，你若是帮我猎杀三只，我就传授你战斗中最重要的一种技术	t_director_dialog_20102102	我还有事	t_director_option0_20102102	2			好的	t_director_option1_20102102	1				t_director_option2_20102102					t_director_option3_20102102				1001
20102200	帕莎	t_director_title_20102200	你这么快就帮我把鹿肉猎取过来了吗	t_director_dialog_20102200	我去猎杀	t_director_option0_20102200	2			交纳鹿肉	t_director_option1_20102200	6	20102201			t_director_option2_20102200					t_director_option3_20102200				1001
20102201	帕莎	t_director_title_20102201	真是谢谢你了，我看鹿实在可爱，下不去手，只能委托你，你倒没让我失望	t_director_dialog_20102201		t_director_option0_20102201	0	20102202			t_director_option1_20102201					t_director_option2_20102201					t_director_option3_20102201				1001
20102202	帕莎	t_director_title_20102202	那我就告诉你战斗最重要的技术，在你的<color=#fdc83a>角色技能</color>页面，有各种各样的技能，你可以学习并且装备了他们来提升自己战斗的效果	t_director_dialog_20102202		t_director_option0_20102202	0	20102203			t_director_option1_20102202					t_director_option2_20102202					t_director_option3_20102202				1001
20102203	帕莎	t_director_title_20102203	学会了你可以试验一下，刷子公会的人，都会一些自己的技能，那我就先回城了，我还要研究怎么做出这道菜呢	t_director_dialog_20102203	好的	t_director_option0_20102203	1				t_director_option1_20102203					t_director_option2_20102203					t_director_option3_20102203				1001
20103100	杂货店老板:泰勒	t_director_title_20103100	你就是那个冒险者吗？	t_director_dialog_20103100		t_director_option0_20103100	0	20103101			t_director_option1_20103100					t_director_option2_20103100					t_director_option3_20103100				4
20103101	杂货店老板:泰勒	t_director_title_20103101	太好了，{P}，就是你，我是铁匠的好友，他说你很强，帮助了他，我就来这里等你，希望你能帮我一下	t_director_dialog_20103101		t_director_option0_20103101	0	20103102			t_director_option1_20103101					t_director_option2_20103101					t_director_option3_20103101				4
20103102	杂货店老板:泰勒	t_director_title_20103102	我看城里百废待兴，就准备开一家杂货店，想要开一家上好的杂货店就要有自己的特产	t_director_dialog_20103102		t_director_option0_20103102	0	20103103			t_director_option1_20103102					t_director_option2_20103102					t_director_option3_20103102				4
20103103	杂货店老板:泰勒	t_director_title_20103103	铁匠说你很是强大，我就希望你能帮我从<color=#fdc83a>食人花</color>身上，收集到一些他们的花苞	t_director_dialog_20103103	我还有事	t_director_option0_20103103	2			好的	t_director_option1_20103103	1				t_director_option2_20103103					t_director_option3_20103103				4
20103200	杂货店老板:泰勒	t_director_title_20103200	冒险者大人，你帮我收集到花苞了吗？	t_director_dialog_20103200	我去收集	t_director_option0_20103200	2			交纳花苞	t_director_option1_20103200	6	20103201			t_director_option2_20103200					t_director_option3_20103200				4
20103201	杂货店老板:泰勒	t_director_title_20103201	太好了，谢谢你，冒险者大人，这些花苞可以用来做各种美容养颜的药剂，有了这些一定我一定能开一间最吸引人的杂货店	t_director_dialog_20103201		t_director_option0_20103201	0	20103202			t_director_option1_20103201					t_director_option2_20103201					t_director_option3_20103201				4
20103202	杂货店老板:泰勒	t_director_title_20103202	那我这就去开店，大人，以后请多多来我的店里关顾，一定会有大人需要的东西	t_director_dialog_20103202	好的	t_director_option0_20103202	1				t_director_option1_20103202					t_director_option2_20103202					t_director_option3_20103202				4
20201100	铁匠:卡普	t_director_title_20201100	又见面了，{P}，我研究出两种能提升武器性能的方法，听说你已经去到勇者之森了，我想以后的征途中你一定需要这种技术，我就想着一定要把这个方法告诉你	t_director_dialog_20201100		t_director_option0_20201100	0	20201101			t_director_option1_20201100					t_director_option2_20201100					t_director_option3_20201100				1000
20201101	铁匠:卡普	t_director_title_20201101	有种技术就是使用一种宝石对装备进行强化升级，强化过后的装备，比普通装备更加强大，不过因为宝石能量有限，随着装备强化等级的提高，所需要的宝石也就越高	t_director_dialog_20201101		t_director_option0_20201101	0	20201102			t_director_option1_20201101					t_director_option2_20201101					t_director_option3_20201101				1000
20201102	铁匠:卡普	t_director_title_20201102	这种宝石最初是一种叫<color=#fdc83a>祝福石</color>的材料，不过这种技术，是我和杂货店老板共同研发出来的	t_director_dialog_20201102		t_director_option0_20201102	0	20201103			t_director_option1_20201102					t_director_option2_20201102					t_director_option3_20201102				1000
20201103	铁匠:卡普	t_director_title_20201103	我持股比较少，对后续的研究不太好，所以，希望你能帮我从<color=#fdc83a>翠金雀</color>身上获得一些翠金雀的羽毛，那东西很值钱	t_director_dialog_20201103	我还有事	t_director_option0_20201103	2			没问题	t_director_option1_20201103	1				t_director_option2_20201103					t_director_option3_20201103				1000
20201200	铁匠:卡普	t_director_title_20201200	你获得羽毛了吗	t_director_dialog_20201200	我去收集	t_director_option0_20201200	2			交纳羽毛	t_director_option1_20201200	6	20201201			t_director_option2_20201200					t_director_option3_20201200				1000
20201201	铁匠:卡普	t_director_title_20201201	太好了，这样我就更有钱了，可以继续研究了	t_director_dialog_20201201		t_director_option0_20201201	0	20201202			t_director_option1_20201201					t_director_option2_20201201					t_director_option3_20201201				1000
20201202	铁匠:卡普	t_director_title_20201202	我送你一些祝福石，你可以通过打开想强化的装备，在装备界面上的<color=#fdc83a>培养</color>里，使用祝福石对装备进行强化	t_director_dialog_20201202	好的	t_director_option0_20201202	1				t_director_option1_20201202					t_director_option2_20201202					t_director_option3_20201202				1000
20202100	小花妖	t_director_title_20202100	吱吱，吱吱	t_director_dialog_20202100	你会说人话吗	t_director_option0_20202100	6	20202101			t_director_option1_20202100					t_director_option2_20202100					t_director_option3_20202100				2001
20202101	小花妖	t_director_title_20202101	吱吱，吱吱	t_director_dialog_20202101	…	t_director_option0_20202101	6	20202102			t_director_option1_20202101					t_director_option2_20202101					t_director_option3_20202101				2001
20202102	小花妖	t_director_title_20202102	吱吱，吱吱	t_director_dialog_20202102	我也吱吱？	t_director_option0_20202102	6	20202103			t_director_option1_20202102					t_director_option2_20202102					t_director_option3_20202102				2001
20202103	小花妖	t_director_title_20202103	吱吱，吱吱	t_director_dialog_20202103	吱吱？	t_director_option0_20202103	6	20202104			t_director_option1_20202103					t_director_option2_20202103					t_director_option3_20202103				2001
20202104	小花妖	t_director_title_20202104	吱吱，你竟然知道我刚想出来的暗号，你是什么人啊，这么聪明！	t_director_dialog_20202104	我是冒险者	t_director_option0_20202104	6	20202105			t_director_option1_20202104					t_director_option2_20202104					t_director_option3_20202104				2001
20202105	小花妖	t_director_title_20202105	吱吱，冒险者，我好像知道，之前族人说你们会接受任务，帮助别人	t_director_dialog_20202105		t_director_option0_20202105	0	20202106			t_director_option1_20202105					t_director_option2_20202105					t_director_option3_20202105				2001
20202106	小花妖	t_director_title_20202106	吱吱，那你能帮我一下吗？	t_director_dialog_20202106		t_director_option0_20202106	0	20202107			t_director_option1_20202106					t_director_option2_20202106					t_director_option3_20202106				2001
20202107	小花妖	t_director_title_20202107	吱吱，这片森林里有一处聚集地叫怪物之家，最近他们不知道发生了什么，十分暴虐的伤害着周围的生物	t_director_dialog_20202107		t_director_option0_20202107	0	20202108			t_director_option1_20202107					t_director_option2_20202107					t_director_option3_20202107				2001
20202108	小花妖	t_director_title_20202108	吱吱，我害怕他们来伤害我，所以，想请你帮忙，消灭了<color=#fdc83a>怪物之家</color>中暴虐的生物，为林除害？	t_director_dialog_20202108	我还有事	t_director_option0_20202108	2			好的	t_director_option1_20202108	6	20202109			t_director_option2_20202108					t_director_option3_20202108				2001
20202109	小花妖	t_director_title_20202109	吱吱，太好了，守护着怪物之家的翠金螳螂身上能获得魔兽令牌，魔兽令牌可以让你进入怪物之家	t_director_dialog_20202109	好的	t_director_option0_20202109	1				t_director_option1_20202109					t_director_option2_20202109					t_director_option3_20202109				2001
20202200	小花妖	t_director_title_20202200	吱吱，吱吱	t_director_dialog_20202200	吱吱	t_director_option0_20202200	6	20202201			t_director_option1_20202200					t_director_option2_20202200					t_director_option3_20202200				2001
20202201	小花妖	t_director_title_20202201	吱吱，我感觉不到发狂的气息了，冒险者，谢谢你了。	t_director_dialog_20202201		t_director_option0_20202201	0	20202202			t_director_option1_20202201					t_director_option2_20202201					t_director_option3_20202201				2001
20202202	小花妖	t_director_title_20202202	吱吱，听说，人类都会有名字，你叫什么名字？冒险者。	t_director_dialog_20202202	{P}	t_director_option0_20202202	6	20202203			t_director_option1_20202202					t_director_option2_20202202					t_director_option3_20202202				2001
20202203	小花妖	t_director_title_20202203	吱吱，{P}，我记住这个名字啦！以后，我们还会见面的，等我也成为像你一样的冒险者。	t_director_dialog_20202203	等你	t_director_option0_20202203	1				t_director_option1_20202203					t_director_option2_20202203					t_director_option3_20202203				3000
20301100	铁匠:卡普	t_director_title_20301100	哈哈，又见面了，{P}，我正需要你的帮助呢	t_director_dialog_20301100		t_director_option0_20301100					t_director_option1_20301100					t_director_option2_20301100					t_director_option3_20301100				3000
20301101	铁匠:卡普	t_director_title_20301101	我最近在对装备锻造的研究上又有了新的进展，但是技术的进步是建立在金钱的消耗上的	t_director_dialog_20301101		t_director_option0_20301101					t_director_option1_20301101					t_director_option2_20301101					t_director_option3_20301101				3000
20301102	铁匠:卡普	t_director_title_20301102	我为了新的研究，在城中找了很多人借了一大笔钱，他们找上门来了，知道我没钱，就让我帮他们收集一种叫魔晶石的材料，来抵消债款，不然就…	t_director_dialog_20301102		t_director_option0_20301102					t_director_option1_20301102					t_director_option2_20301102					t_director_option3_20301102				3000
20301103	铁匠:卡普	t_director_title_20301103	据说沃野沼泽的大嘴怪身上会有，{P}，你可一定要帮我，我可以把我的研究成果传授给你	t_director_dialog_20301103	我还有事	t_director_option0_20301103	2			好的	t_director_option1_20301103	1				t_director_option2_20301103					t_director_option3_20301103				3000
20301200	铁匠:卡普	t_director_title_20301200	你收集够魔晶石了吗	t_director_dialog_20301200	我去收集	t_director_option0_20301200	2			交纳魔晶石	t_director_option1_20301200	6	20301201			t_director_option2_20301200					t_director_option3_20301200				3000
20301201	铁匠:卡普	t_director_title_20301201	太感谢你了，我还以为我又要出城躲一段时间了呢	t_director_dialog_20301201		t_director_option0_20301201	0	20301202			t_director_option1_20301201					t_director_option2_20301201					t_director_option3_20301201				3000
20301202	铁匠:卡普	t_director_title_20301202	我新研究出的锻造技术就是把装备某个属性进行重新订制，只需要你有一种叫<color=#fdc83a>重铸石</color>的材料	t_director_dialog_20301202		t_director_option0_20301202	0	20301203			t_director_option1_20301202					t_director_option2_20301202					t_director_option3_20301202				3000
20301203	铁匠:卡普	t_director_title_20301203	我正好有几个研究剩下的，送给你，你可以在装备界面上的<color=#fdc83a>培养</color>里，对装备进行重铸	t_director_dialog_20301203		t_director_option0_20301203	0	20301204			t_director_option1_20301203					t_director_option2_20301203					t_director_option3_20301203				3000
20301204	铁匠:卡普	t_director_title_20301204	对了，你可以通过<color=#fdc83a>分解装备</color>来获得重铸石	t_director_dialog_20301204		t_director_option0_20301204	0	20301205			t_director_option1_20301204					t_director_option2_20301204					t_director_option3_20301204				3000
20301205	铁匠:卡普	t_director_title_20301205	我先离开了	t_director_dialog_20301205	好的	t_director_option0_20301205	1				t_director_option1_20301205					t_director_option2_20301205					t_director_option3_20301205				3001
20302100	龙之塔管理员:安吉拉	t_director_title_20302100	{P}，太好了，能在这里遇到你	t_director_dialog_20302100		t_director_option0_20302100	0	20302101			t_director_option1_20302100					t_director_option2_20302100					t_director_option3_20302100				3001
20302101	龙之塔管理员:安吉拉	t_director_title_20302101	我是龙之塔的管理员：安吉拉，龙之塔是从遥远的古代就存在的建筑，里面关押了无数的魔兽	t_director_dialog_20302101		t_director_option0_20302101	0	20302102			t_director_option1_20302101					t_director_option2_20302101					t_director_option3_20302101				3001
20302102	龙之塔管理员:安吉拉	t_director_title_20302102	龙之塔里面魔兽纵横，人类根本不能走进去，可能都是魔兽的原因，只有一些宠物可以进去试炼，所以，龙之塔就成了宠物们进去试炼的场所	t_director_dialog_20302102		t_director_option0_20302102	0	20302103			t_director_option1_20302102					t_director_option2_20302102					t_director_option3_20302102				3001
20302103	龙之塔管理员:安吉拉	t_director_title_20302103	但这次好像发生了什么不一样的事，很多宠物进去都发生了各种变异，很多宠物死在了里面，但是，就算有一个还活着，我就想把他救出来	t_director_dialog_20302103		t_director_option0_20302103	0	20302104			t_director_option1_20302103					t_director_option2_20302103					t_director_option3_20302103				3001
20302104	龙之塔管理员:安吉拉	t_director_title_20302104	整个城里也只有你能进去和那些凶狠的魔兽战斗了，所以，我想请你前去龙之塔，找回在里面迷失的熊猫	t_director_dialog_20302104		t_director_option0_20302104	0	20302105			t_director_option1_20302104					t_director_option2_20302104					t_director_option3_20302104				3001
20302105	龙之塔管理员:安吉拉	t_director_title_20302105	熊猫宠物进去前偷喝了大街上一个冒险者的烈酒，其他回来的宠物说，它躲在了第二十层睡着了	t_director_dialog_20302105		t_director_option0_20302105	0	20302106			t_director_option1_20302105					t_director_option2_20302105					t_director_option3_20302105				3001
20302106	龙之塔管理员:安吉拉	t_director_title_20302106	所以，你能不能，进去帮我把他找回来？	t_director_dialog_20302106	好的	t_director_option0_20302106	1				t_director_option1_20302106					t_director_option2_20302106					t_director_option3_20302106				3001
20302200	龙之塔管理员:安吉拉	t_director_title_20302200	宠物熊猫已经回来，太感谢你了，{P}	t_director_dialog_20302200		t_director_option0_20302200	0	20302201			t_director_option1_20302200					t_director_option2_20302200					t_director_option3_20302200				3001
20302201	龙之塔管理员:安吉拉	t_director_title_20302201	熊猫在看到你战斗的身影之后，就一直想要跟随你前去战斗，所以，我也没什么礼物报答你，就让熊猫宠物以后跟着你吧	t_director_dialog_20302201		t_director_option0_20302201	0	20302202			t_director_option1_20302201					t_director_option2_20302201					t_director_option3_20302201				3001
20302202	龙之塔管理员:安吉拉	t_director_title_20302202	别看它这样，他还是很强的，而且，公会已经决定，对外开放龙之塔了，以后你可以继续来龙之塔试炼呀	t_director_dialog_20302202		t_director_option0_20302202	0	20302203			t_director_option1_20302202					t_director_option2_20302202					t_director_option3_20302202				3001
20302203	龙之塔管理员:安吉拉	t_director_title_20302203	龙之塔上方都是魔兽，一直往上爬，肯定有很多魔兽会像熊猫一样想跟随你，成为你的宠物的	t_director_dialog_20302203	好的	t_director_option0_20302203	1				t_director_option1_20302203					t_director_option2_20302203					t_director_option3_20302203				3
20304101	任务管理员:伊迪丝	t_director_title_20304101	你好，我是负责刷子任务的管理员，我们<color=#fdc83a>每天</color>会根据你的实力为你分配一定数量的猎杀任务	t_director_dialog_20304101		t_director_option0_20304101	0	20304102			t_director_option1_20304101					t_director_option2_20304101					t_director_option3_20304101				3
20304102	任务管理员:伊迪丝	t_director_title_20304102	猎杀任务主要是击杀城外那些暴动的魔兽，完成任务我们会给予你丰厚的奖励	t_director_dialog_20304102		t_director_option0_20304102	0	20304103			t_director_option1_20304102					t_director_option2_20304102					t_director_option3_20304102				3
20304103	任务管理员:伊迪丝	t_director_title_20304103	想要接取猎杀任务，需要完成一个考核，考验你是否是能力可以完成公会的委托	t_director_dialog_20304103		t_director_option0_20304103	0	20304104			t_director_option1_20304103					t_director_option2_20304103					t_director_option3_20304103				3
20304104	任务管理员:伊迪丝	t_director_title_20304104	你的任务是讨伐位于沃野沼泽的一些<color=#fdc83a>蜥蜴</color>，数量是20只，我想这难不倒你吧	t_director_dialog_20304104	我还有事	t_director_option0_20304104	2			没问题	t_director_option1_20304104	1				t_director_option2_20304104					t_director_option3_20304104				3
20304200	任务管理员:伊迪丝	t_director_title_20304200	你完成任务了吗？{P}	t_director_dialog_20304200	我去讨伐	t_director_option0_20304200	2			任务完成了	t_director_option1_20304200	6	20304201			t_director_option2_20304200					t_director_option3_20304200				3
20304201	任务管理员:伊迪丝	t_director_title_20304201	太好了，你的努力一定会让城里的居民对未来更加有信心	t_director_dialog_20304201		t_director_option0_20304201	0	20304202			t_director_option1_20304201					t_director_option2_20304201					t_director_option3_20304201				3
20304202	任务管理员:伊迪丝	t_director_title_20304202	以后你请你来我这里接取任务，我<color=#fdc83a>每天</color>都会发布很多任务的，而且对你，我们会给予很多奖励的	t_director_dialog_20304202	好的	t_director_option0_20304202	1				t_director_option1_20304202					t_director_option2_20304202					t_director_option3_20304202				3002
20303100	机智的商人：卡隆	t_director_title_20303100	你好，我是卡隆，我看你从伊迪丝那里领到了一个神器卷轴，我就是神器副本卷轴的提供者，我们家族世代追寻神器副本里的神器卷轴，所以我一直给刷子公会提供能打开神器副本封印的卷轴	t_director_dialog_20303100		t_director_option0_20303100	0	20303101			t_director_option1_20303100					t_director_option2_20303100					t_director_option3_20303100				3002
20303101	机智的商人：卡隆	t_director_title_20303101	你还不知道怎么去神器副本吧，神器副本每个地图都有一个，但是城外和勇者之森的被破坏掉了，所以，只有在沃野沼泽和其他地图存在了	t_director_dialog_20303101		t_director_option0_20303101	0	20303102			t_director_option1_20303101					t_director_option2_20303101					t_director_option3_20303101				3002
20303102	机智的商人：卡隆	t_director_title_20303102	在我们家族的记事簿中记载，在沃野沼泽的南方，有一个神器副本，只要你拿着神器副本卷轴就能进入	t_director_dialog_20303102		t_director_option0_20303102	0	20303103			t_director_option1_20303102					t_director_option2_20303102					t_director_option3_20303102				3002
20303103	机智的商人：卡隆	t_director_title_20303103	我们家族一直提供副本卷轴的目的，就是希望有人真的能从哪里带出来一件神器卷轴	t_director_dialog_20303103		t_director_option0_20303103	0	20303104			t_director_option1_20303103					t_director_option2_20303103					t_director_option3_20303103				3002
20303104	机智的商人：卡隆	t_director_title_20303104	至今为止，还没有人从里面带出来过神器卷轴，所以，冒险者们现在都不相信在里面能获得神器卷轴了，所以狩猎之森和勇者之森的神器副本都被他们破坏掉了	t_director_dialog_20303104		t_director_option0_20303104	0	20303105			t_director_option1_20303104					t_director_option2_20303104					t_director_option3_20303104				3002
20303105	机智的商人：卡隆	t_director_title_20303105	所以，如果你能从里面带出来神器卷轴，请来告诉我这个消息，我会给与你很高的奖励	t_director_dialog_20303105	我还有事	t_director_option0_20303105	2			好的	t_director_option1_20303105	1				t_director_option2_20303105					t_director_option3_20303105				3002
20303200	机智的商人：卡隆	t_director_title_20303200	是你啊，{P}，神器神器副本的探索	t_director_dialog_20303200		t_director_option0_20303200	0	20303201			t_director_option1_20303200					t_director_option2_20303200					t_director_option3_20303200				3002
